	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
KLK11-1	KLK11	2691.000	-0.092	0.321	-0.287	0.245	5.000
chr5_6	chr5_6	2682.333	0.039	0.321	0.121	0.000	1.000
HLA-DMA-3	HLA-DMA	2680.667	-0.091	0.321	-0.283	0.251	5.000
NEURL1-2	NEURL1	2677.333	-0.048	0.321	-0.151	0.260	5.000
NCK2-5	NCK2	2677.000	0.037	0.321	0.116	0.083	5.000
PRRT3-4	PRRT3	2675.667	0.192	0.321	0.598	0.449	5.000
TRIM7-5	TRIM7	2673.667	0.032	0.321	0.100	0.332	5.000
ABLIM3-3	ABLIM3	2664.667	0.163	0.321	0.508	0.342	5.000
WIPF1-4	WIPF1	2662.333	0.053	0.321	0.164	0.134	5.000
RNF216-4	RNF216	2660.000	0.093	0.321	0.290	0.360	5.000
SLC50A1-1	SLC50A1	2659.667	0.140	0.321	0.435	0.160	5.000
NCKIPSD-2	NCKIPSD	2656.667	0.078	0.321	0.245	0.388	5.000
PCDHA1-4	PCDHA1	2654.333	-0.033	0.321	-0.103	0.107	5.000
KIAA1522-5	KIAA1522	2650.000	0.201	0.321	0.627	0.307	5.000
KIAA1522-1	KIAA1522	2648.000	0.026	0.321	0.080	0.307	5.000
SPIN3-2	SPIN3	2646.333	0.125	0.321	0.389	0.208	5.000
B3GNT5-1	B3GNT5	2645.667	0.156	0.321	0.487	0.230	5.000
KRTAP12-4-5	KRTAP12-4	2645.667	-0.080	0.321	-0.248	0.351	5.000
KIAA1522-4	KIAA1522	2639.333	0.105	0.321	0.326	0.307	5.000
PROX1-5	PROX1	2639.000	0.131	0.321	0.410	0.219	5.000
ALDH1A3-2	ALDH1A3	2637.667	0.073	0.321	0.227	0.182	5.000
chr4_2	chr4_2	2631.667	0.296	0.321	0.924	0.000	1.000
NELL1-2	NELL1	2630.333	-0.119	0.321	-0.372	0.301	5.000
KLK11-3	KLK11	2628.333	-0.118	0.321	-0.367	0.245	5.000
PKP1-4	PKP1	2627.667	0.164	0.321	0.511	0.400	5.000
chrX_1	chrX_1	2625.000	0.239	0.321	0.745	0.000	1.000
HMGB3-5	HMGB3	2623.333	0.315	0.321	0.981	0.440	5.000
FOXO1-3	FOXO1	2622.333	0.133	0.321	0.416	0.166	5.000
GGT7-1	GGT7	2620.000	-0.164	0.321	-0.513	0.283	5.000
SATL1-5	SATL1	2617.000	0.193	0.321	0.602	0.225	5.000
ZKSCAN8-4	ZKSCAN8	2616.000	1.123	0.321	3.504	1.425	5.000
chr13_8	chr13_8	2615.333	0.102	0.321	0.320	0.000	1.000
PLAGL2-4	PLAGL2	2613.333	-0.334	0.321	-1.041	0.240	5.000
ZSCAN31-1	ZSCAN31	2610.667	-0.018	0.321	-0.057	0.271	5.000
TTC33-5	TTC33	2605.667	-0.025	0.321	-0.079	0.188	5.000
PLAGL2-3	PLAGL2	2605.333	-0.315	0.321	-0.981	0.240	5.000
BMP3-5	BMP3	2596.333	0.100	0.321	0.311	0.172	5.000
NUP205-3	NUP205	2595.333	-0.434	0.321	-1.352	0.340	5.000
SHROOM2-3	SHROOM2	2587.000	0.327	0.321	1.021	0.314	5.000
COL2A1-3	COL2A1	2585.333	0.082	0.321	0.255	0.274	5.000
MKL2-4	MKL2	2583.000	0.085	0.321	0.264	0.090	5.000
PRR15-2	PRR15	2581.000	-0.322	0.321	-1.003	0.502	5.000
LFNG-2	LFNG	2577.333	0.200	0.321	0.622	0.294	5.000
CEACAM5-3	CEACAM5	2576.667	0.126	0.321	0.392	0.302	5.000
SATL1-2	SATL1	2572.000	0.024	0.321	0.076	0.225	5.000
PKP1-2	PKP1	2569.000	-0.165	0.321	-0.515	0.400	5.000
ATP9A-1	ATP9A	2568.667	0.089	0.321	0.276	0.212	5.000
C15orf40-2	C15orf40	2565.333	0.035	0.321	0.109	0.218	5.000
chr10_11	chr10_11	2565.000	0.073	0.321	0.227	0.000	1.000
RSF1-5	RSF1	2557.000	0.735	0.321	2.293	0.925	5.000
MPP3-1	MPP3	2555.333	-0.170	0.321	-0.531	0.135	5.000
PPP1R3D-2	PPP1R3D	2554.333	-0.010	0.321	-0.031	0.179	5.000
ZNF341-2	ZNF341	2550.333	-0.273	0.321	-0.851	0.418	5.000
FGF13-3	FGF13	2545.333	0.086	0.321	0.270	0.404	5.000
AAGAB-5	AAGAB	2543.667	-0.438	0.321	-1.365	2.649	5.000
VAV3-3	VAV3	2542.000	0.118	0.321	0.367	0.194	5.000
FZD10-3	FZD10	2541.667	0.101	0.321	0.314	0.184	5.000
SHROOM4-5	SHROOM4	2539.667	0.158	0.321	0.492	0.379	5.000
EP300-4	EP300	2537.000	1.039	0.321	3.240	0.496	5.000
SNX30-3	SNX30	2536.333	-0.225	0.321	-0.703	0.241	5.000
CLU-5	CLU	2534.667	-0.053	0.321	-0.165	0.291	5.000
AMER3-1	AMER3	2533.333	0.044	0.321	0.136	0.190	5.000
TRPM5-2	TRPM5	2532.000	0.014	0.321	0.044	0.235	5.000
GPR143-5	GPR143	2529.333	-0.055	0.321	-0.170	0.353	5.000
NEUROD2-1	NEUROD2	2527.667	0.034	0.321	0.105	0.520	5.000
SPTBN1-5	SPTBN1	2523.333	0.294	0.321	0.916	0.504	5.000
CHST4-1	CHST4	2522.667	-0.050	0.321	-0.155	0.187	5.000
TMEM176A-4	TMEM176A	2518.667	-0.029	0.321	-0.090	0.296	5.000
RIMS4-5	RIMS4	2513.000	-0.136	0.321	-0.426	0.243	5.000
FZD10-5	FZD10	2508.667	0.064	0.321	0.201	0.184	5.000
chrX_7	chrX_7	2507.000	0.038	0.321	0.118	0.000	1.000
RYK-4	RYK	2505.000	0.184	0.321	0.575	0.425	5.000
PEX10-1	PEX10	2504.667	-0.839	0.321	-2.617	0.209	5.000
PLEKHN1-5	PLEKHN1	2500.000	0.061	0.321	0.190	0.577	5.000
MEF2D-4	MEF2D	2499.667	0.186	0.321	0.579	0.349	5.000
CCR1-4	CCR1	2498.333	-0.051	0.321	-0.161	0.125	5.000
TH-3	TH	2498.000	0.016	0.321	0.051	0.166	5.000
KIAA1671-5	KIAA1671	2498.000	0.123	0.321	0.385	0.344	5.000
IHH-4	IHH	2495.333	0.120	0.321	0.375	0.296	4.000
XG-1	XG	2495.000	0.038	0.321	0.119	0.116	5.000
KRT40-1	KRT40	2492.667	0.018	0.321	0.056	0.177	5.000
chr3_3	chr3_3	2492.333	0.183	0.321	0.572	0.000	1.000
IGFLR1-2	IGFLR1	2489.000	-0.008	0.321	-0.026	0.221	5.000
CRHR2-4	CRHR2	2487.667	-0.022	0.321	-0.070	0.083	5.000
PILRA-3	PILRA	2484.333	-0.093	0.321	-0.289	0.386	5.000
MEF2D-5	MEF2D	2482.333	0.308	0.321	0.961	0.349	5.000
POLI-3	POLI	2480.333	0.187	0.321	0.583	0.122	5.000
DNAH3-5	DNAH3	2479.667	-0.005	0.321	-0.016	0.223	5.000
chr1_8	chr1_8	2476.000	0.147	0.321	0.459	0.000	1.000
GRHL1-1	GRHL1	2475.000	-0.037	0.321	-0.115	0.496	5.000
FCN2-3	FCN2	2474.667	0.115	0.321	0.359	0.459	5.000
SERINC1-3	SERINC1	2474.000	0.179	0.321	0.557	0.189	5.000
VWA5B1-4	VWA5B1	2469.333	0.105	0.321	0.329	0.560	5.000
NEU4-2	NEU4	2468.667	-0.006	0.321	-0.018	0.261	5.000
WIPF1-3	WIPF1	2465.333	0.075	0.321	0.234	0.134	5.000
CUEDC1-3	CUEDC1	2457.000	0.276	0.321	0.861	0.540	5.000
TMPRSS13-3	TMPRSS13	2456.000	-0.007	0.321	-0.023	0.280	5.000
PPP1R3D-5	PPP1R3D	2455.667	0.053	0.321	0.164	0.179	5.000
CEP68-1	CEP68	2450.333	-0.107	0.321	-0.334	0.531	5.000
ZFHX2-3	ZFHX2	2449.667	-0.259	0.321	-0.807	0.323	5.000
RBPJL-3	RBPJL	2449.667	-0.150	0.321	-0.468	0.407	5.000
PSMD11-4	PSMD11	2447.000	-0.520	0.321	-1.623	0.466	5.000
KIAA1804-5	KIAA1804	2443.333	0.036	0.321	0.111	0.245	5.000
PEX10-4	PEX10	2439.333	-0.736	0.321	-2.296	0.209	5.000
SYNGR2-2	SYNGR2	2438.333	0.016	0.321	0.050	0.170	5.000
GPR143-2	GPR143	2435.333	0.023	0.321	0.071	0.353	5.000
FAM109A-5	FAM109A	2435.000	-0.059	0.321	-0.185	0.281	5.000
KLK11-5	KLK11	2434.667	0.086	0.321	0.269	0.245	5.000
PFKL-4	PFKL	2434.000	-0.151	0.321	-0.471	0.300	5.000
EPN3-5	EPN3	2432.667	-0.064	0.321	-0.199	0.248	5.000
PMS2-5	PMS2	2431.000	0.027	0.321	0.085	0.491	5.000
HOXD13-3	HOXD13	2430.667	0.024	0.321	0.073	0.181	5.000
CAB39L-1	CAB39L	2423.333	0.065	0.321	0.203	0.148	5.000
THPO-4	THPO	2423.000	-0.113	0.321	-0.352	0.256	5.000
OR2T33-2	OR2T33	2421.667	-0.010	0.321	-0.032	0.401	5.000
CRISPLD2-5	CRISPLD2	2418.667	0.028	0.321	0.088	0.330	5.000
UBE2QL1-3	UBE2QL1	2413.333	-0.121	0.321	-0.377	0.449	5.000
EIF4E2-3	EIF4E2	2410.000	0.229	0.321	0.713	0.513	5.000
HEG1-1	HEG1	2405.333	0.082	0.321	0.257	0.382	5.000
chr19_7	chr19_7	2404.333	-0.025	0.321	-0.077	0.000	1.000
HDHD3-3	HDHD3	2403.667	-0.536	0.321	-1.671	0.479	5.000
KIAA1549L-2	KIAA1549L	2395.667	0.005	0.321	0.016	0.212	5.000
MLH1-2	MLH1	2394.333	0.076	0.321	0.237	0.261	5.000
PDF-3	PDF	2390.000	0.031	0.321	0.097	0.386	5.000
ERICH5-5	ERICH5	2385.000	0.242	0.321	0.756	0.380	5.000
NUMB-5	NUMB	2383.333	-0.043	0.321	-0.133	0.256	5.000
NEDD4-3	NEDD4	2380.667	-0.130	0.321	-0.404	0.245	5.000
MLH1-1	MLH1	2379.000	-0.142	0.321	-0.444	0.261	5.000
SS18-1	SS18	2378.667	0.252	0.321	0.786	0.449	5.000
HMGB3-2	HMGB3	2376.667	0.480	0.321	1.497	0.440	5.000
TCF19-2	TCF19	2370.000	0.227	0.321	0.708	0.255	5.000
PCDHGA9-2	PCDHGA9	2369.667	0.062	0.321	0.194	0.293	5.000
RAB2B-4	RAB2B	2369.000	0.076	0.321	0.238	0.176	5.000
ELF5-3	ELF5	2368.000	-0.153	0.321	-0.478	0.227	5.000
PLEKHN1-3	PLEKHN1	2368.000	0.195	0.321	0.608	0.577	5.000
GAGE12I-5	GAGE12I	2367.667	-0.054	0.321	-0.167	0.344	5.000
chr10_9	chr10_9	2367.333	0.083	0.321	0.258	0.000	1.000
PID1-4	PID1	2366.667	-0.118	0.321	-0.367	0.190	5.000
C5-5	C5	2366.667	-0.017	0.321	-0.052	0.169	5.000
TMEM198-2	TMEM198	2366.333	-0.223	0.321	-0.696	0.553	5.000
FAM109A-1	FAM109A	2363.667	0.039	0.321	0.123	0.281	5.000
HIST3H2BB-2	HIST3H2BB	2362.333	0.018	0.321	0.057	0.719	5.000
chrX_3	chrX_3	2361.000	0.057	0.321	0.179	0.000	1.000
IFT27-2	IFT27	2360.667	0.049	0.321	0.152	0.404	5.000
LMNA-1	LMNA	2360.333	-0.474	0.321	-1.479	0.400	5.000
EGF-1	EGF	2359.667	-0.123	0.321	-0.384	0.301	5.000
chr16_2	chr16_2	2358.333	0.064	0.321	0.201	0.000	1.000
SLC50A1-5	SLC50A1	2358.333	0.017	0.321	0.054	0.160	5.000
HSFY1-2	HSFY1	2357.000	0.176	0.321	0.548	0.221	5.000
BCL2L10-1	BCL2L10	2356.667	0.066	0.321	0.206	0.086	5.000
chr14_4	chr14_4	2356.000	0.169	0.321	0.527	0.000	1.000
C15orf40-1	C15orf40	2355.667	0.011	0.321	0.035	0.218	5.000
OR2T33-3	OR2T33	2355.000	0.123	0.321	0.385	0.401	5.000
LOC643355-2	LOC643355	2354.333	-0.094	0.321	-0.295	0.296	5.000
SDR42E1-4	SDR42E1	2354.333	0.045	0.321	0.141	0.155	5.000
UNKL-1	UNKL	2354.000	0.017	0.321	0.054	0.171	5.000
CDKN1A-3	CDKN1A	2350.333	0.584	0.321	1.821	0.464	5.000
chr13_7	chr13_7	2349.000	0.087	0.321	0.273	0.000	1.000
PMS2-1	PMS2	2348.667	0.365	0.321	1.137	0.491	5.000
DUOX2-2	DUOX2	2343.667	-0.006	0.321	-0.019	0.153	5.000
GPR87-1	GPR87	2339.333	-0.061	0.321	-0.192	0.259	5.000
CH25H-3	CH25H	2338.333	0.185	0.321	0.578	0.221	5.000
FIBIN-5	FIBIN	2335.667	-0.207	0.321	-0.645	0.310	5.000
RGMA-2	RGMA	2335.667	-0.014	0.321	-0.044	0.149	5.000
MSH5-2	MSH5	2334.333	0.147	0.321	0.460	0.442	5.000
SSR2-3	SSR2	2334.333	-1.022	0.321	-3.188	1.072	5.000
APOL1-4	APOL1	2332.000	0.170	0.321	0.530	0.396	5.000
TRABD-3	TRABD	2329.667	-0.021	0.321	-0.064	0.235	5.000
C8orf31-1	C8orf31	2328.333	-0.006	0.321	-0.017	0.271	5.000
BLM-3	BLM	2328.000	-0.486	0.321	-1.517	1.344	5.000
NEIL3-1	NEIL3	2327.000	0.191	0.321	0.595	0.190	5.000
SHROOM2-2	SHROOM2	2321.667	0.125	0.321	0.390	0.314	5.000
PRR11-1	PRR11	2320.333	-0.136	0.321	-0.424	0.130	5.000
RAB2B-3	RAB2B	2320.000	0.001	0.321	0.004	0.176	5.000
ZNF345-4	ZNF345	2316.667	0.197	0.321	0.614	0.547	5.000
HPGD-2	HPGD	2311.000	0.139	0.321	0.432	0.395	5.000
SLC16A13-1	SLC16A13	2309.000	-0.146	0.321	-0.456	0.161	5.000
IFT27-1	IFT27	2307.000	-0.174	0.321	-0.543	0.404	5.000
QPRT-5	QPRT	2306.667	0.234	0.321	0.729	0.352	5.000
EVC-1	EVC	2302.667	0.146	0.321	0.456	0.358	5.000
AMER3-5	AMER3	2302.667	0.116	0.321	0.361	0.190	5.000
ZDHHC1-3	ZDHHC1	2302.333	0.200	0.321	0.625	0.190	5.000
RPL5-1	RPL5	2302.000	-0.397	0.321	-1.238	1.570	5.000
TFCP2L1-1	TFCP2L1	2297.667	0.036	0.321	0.111	0.263	5.000
BMP7-2	BMP7	2294.667	-0.024	0.321	-0.076	0.128	5.000
QPRT-4	QPRT	2293.667	0.075	0.321	0.233	0.352	5.000
FGF13-1	FGF13	2293.000	0.004	0.321	0.011	0.404	5.000
PML-4	PML	2291.333	0.090	0.321	0.280	0.517	5.000
OSR1-4	OSR1	2289.333	-0.021	0.321	-0.067	0.252	5.000
HYPM-3	HYPM	2287.667	0.129	0.321	0.401	0.279	5.000
C11orf42-5	C11orf42	2286.667	-0.077	0.321	-0.240	0.258	5.000
DUSP18-2	DUSP18	2285.333	0.047	0.321	0.147	0.065	5.000
CREB3L2-5	CREB3L2	2285.000	0.348	0.321	1.084	0.529	5.000
SYNGR2-5	SYNGR2	2283.333	0.060	0.321	0.186	0.170	5.000
SLC16A13-2	SLC16A13	2279.000	-0.044	0.321	-0.137	0.161	5.000
PKP1-3	PKP1	2277.333	0.094	0.321	0.292	0.400	5.000
DNAJB5-1	DNAJB5	2274.667	-0.052	0.321	-0.164	0.513	5.000
NEURL1-4	NEURL1	2273.333	0.105	0.321	0.327	0.260	5.000
ZSCAN31-5	ZSCAN31	2270.333	0.090	0.321	0.282	0.271	5.000
DSG4-2	DSG4	2268.000	0.358	0.321	1.117	0.413	5.000
GPR143-4	GPR143	2267.000	0.016	0.321	0.051	0.353	5.000
FAM217A-1	FAM217A	2266.333	0.076	0.321	0.238	0.218	5.000
CPNE9-2	CPNE9	2266.000	0.207	0.321	0.646	0.335	5.000
chr10_4	chr10_4	2261.667	0.229	0.321	0.714	0.000	1.000
chr11_1	chr11_1	2260.000	-0.004	0.321	-0.012	0.000	1.000
BSPH1-3	BSPH1	2259.667	-0.022	0.321	-0.069	0.183	5.000
DEFB116-2	DEFB116	2259.333	-0.120	0.321	-0.375	0.303	5.000
SATL1-3	SATL1	2257.000	0.038	0.321	0.118	0.225	5.000
CREB3L2-1	CREB3L2	2256.000	0.083	0.321	0.258	0.529	5.000
chr17_5	chr17_5	2256.000	-0.168	0.321	-0.523	0.000	1.000
TH-1	TH	2255.667	-0.131	0.321	-0.410	0.166	5.000
chr14_8	chr14_8	2253.667	-0.233	0.321	-0.728	0.000	1.000
CXCL5-3	CXCL5	2253.333	0.056	0.321	0.176	0.138	4.000
CEACAM3-1	CEACAM3	2253.333	0.078	0.321	0.242	0.211	5.000
GRHL1-5	GRHL1	2252.000	-0.243	0.321	-0.758	0.496	5.000
chr6_2	chr6_2	2251.667	-0.049	0.321	-0.154	0.000	1.000
FCN2-2	FCN2	2251.000	-0.177	0.321	-0.552	0.459	5.000
TMPRSS13-4	TMPRSS13	2247.333	-0.115	0.321	-0.357	0.280	5.000
NEU4-3	NEU4	2246.333	0.024	0.321	0.074	0.261	5.000
YIPF4-4	YIPF4	2246.000	0.070	0.321	0.217	0.244	5.000
IL2RG-1	IL2RG	2243.667	0.159	0.321	0.496	0.593	5.000
SLC38A4-1	SLC38A4	2243.667	0.132	0.321	0.410	0.298	5.000
PRR21-3	PRR21	2240.000	0.050	0.321	0.156	0.132	5.000
FAM124B-1	FAM124B	2238.667	0.009	0.321	0.028	0.188	5.000
FAM109A-4	FAM109A	2236.333	-0.078	0.321	-0.244	0.281	5.000
TRPM5-1	TRPM5	2236.000	0.161	0.321	0.503	0.235	5.000
SHC2-1	SHC2	2235.667	0.060	0.321	0.188	0.393	5.000
CAB39L-4	CAB39L	2235.333	0.112	0.321	0.350	0.148	5.000
KHDRBS3-3	KHDRBS3	2234.333	-0.015	0.321	-0.048	0.068	5.000
SLC25A22-3	SLC25A22	2233.667	-0.448	0.321	-1.396	0.235	5.000
ERICH5-2	ERICH5	2229.667	0.314	0.321	0.980	0.380	5.000
DMC1-2	DMC1	2224.333	0.049	0.321	0.153	0.344	5.000
PRPS2-3	PRPS2	2220.667	-0.192	0.321	-0.600	0.284	5.000
TRHDE-2	TRHDE	2219.667	0.115	0.321	0.359	0.183	5.000
DNAH3-4	DNAH3	2219.000	0.121	0.321	0.378	0.223	5.000
MAML1-2	MAML1	2216.667	0.257	0.321	0.803	0.452	5.000
NANOS1-5	NANOS1	2214.333	0.142	0.321	0.442	0.351	5.000
CREB3L2-4	CREB3L2	2214.000	0.044	0.321	0.137	0.529	5.000
GCG-5	GCG	2211.000	-0.018	0.321	-0.056	0.222	5.000
TPO-2	TPO	2206.000	-0.171	0.321	-0.534	0.208	5.000
PRPS2-5	PRPS2	2204.000	-0.065	0.321	-0.204	0.284	5.000
RXFP4-4	RXFP4	2202.000	0.248	0.321	0.774	0.346	5.000
ADAM7-1	ADAM7	2199.333	0.025	0.321	0.077	0.218	5.000
ELN-1	ELN	2199.333	0.040	0.321	0.126	0.197	5.000
GAGE12I-2	GAGE12I	2195.000	0.193	0.321	0.602	0.344	5.000
TH-4	TH	2192.667	0.005	0.321	0.017	0.166	5.000
RFC1-2	RFC1	2189.667	0.092	0.321	0.287	0.977	5.000
FGF13-2	FGF13	2188.333	-0.017	0.321	-0.052	0.404	5.000
TMEM236-1	TMEM236	2187.667	0.142	0.321	0.442	0.259	5.000
FAM124B-2	FAM124B	2186.333	-0.013	0.321	-0.039	0.188	5.000
TRIM36-3	TRIM36	2186.333	0.281	0.321	0.876	0.382	5.000
TGIF2-3	TGIF2	2185.667	-0.392	0.321	-1.224	0.368	5.000
ALS2CL-3	ALS2CL	2182.333	0.029	0.321	0.091	0.175	5.000
RYK-3	RYK	2182.333	0.201	0.321	0.627	0.425	5.000
TMEM176A-5	TMEM176A	2179.000	-0.118	0.321	-0.369	0.296	5.000
TTC33-3	TTC33	2177.667	-0.012	0.321	-0.037	0.188	5.000
KIAA0825-2	KIAA0825	2176.333	-0.075	0.321	-0.233	0.217	5.000
GGA3-1	GGA3	2176.000	0.020	0.321	0.064	0.258	5.000
chr8_1	chr8_1	2175.667	0.150	0.321	0.467	0.000	1.000
LRRN1-5	LRRN1	2174.000	0.186	0.321	0.581	0.177	5.000
chr9_10	chr9_10	2173.000	-0.103	0.321	-0.321	0.000	1.000
CREB3L2-2	CREB3L2	2172.000	0.030	0.321	0.094	0.529	5.000
NPAS2-5	NPAS2	2170.000	0.097	0.321	0.304	0.273	5.000
BPIFB6-3	BPIFB6	2169.667	0.091	0.321	0.284	0.397	5.000
KIAA1522-3	KIAA1522	2169.333	0.260	0.321	0.810	0.307	5.000
HDAC5-4	HDAC5	2169.000	0.121	0.321	0.377	0.216	5.000
RNF220-5	RNF220	2167.000	0.111	0.321	0.346	0.165	5.000
OIT3-5	OIT3	2166.333	-0.052	0.321	-0.163	0.146	5.000
GPR143-1	GPR143	2165.667	0.274	0.321	0.853	0.353	5.000
ENTPD4-5	ENTPD4	2165.333	0.181	0.321	0.564	0.328	5.000
DEFB116-4	DEFB116	2164.000	-0.095	0.321	-0.295	0.303	5.000
TCF7-5	TCF7	2162.667	0.180	0.321	0.563	0.233	5.000
EIF4E2-4	EIF4E2	2162.000	0.105	0.321	0.327	0.513	5.000
chr1_3	chr1_3	2162.000	-0.032	0.321	-0.101	0.000	1.000
