GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
ERCC1	-1.27	5	-0.17	0.432	107	0.75	0.568	701	0.654
NT5C3B	-1.24	5	-0.17	0.434	108	0.75	0.566	700	0.652
COL2A1	-1.23	5	-0.16	0.436	109	0.75	0.564	699	0.651
HOXD10	-1.18	5	-0.15	0.441	110	0.75	0.559	698	0.646
RAPH1	-1.13	5	-0.14	0.446	111	0.75	0.554	697	0.641
EYS	-1.13	5	-0.13	0.447	112	0.75	0.553	696	0.641
C1QL4	-1.09	5	-0.12	0.451	113	0.75	0.549	695	0.638
DFNB59	-1.08	5	-0.12	0.452	114	0.75	0.548	694	0.638
LYZL1	-1.01	5	-0.10	0.459	115	0.75	0.541	693	0.63
SSR2	-0.99	5	-0.10	0.461	116	0.75	0.539	692	0.629
MADD	-0.97	5	-0.09	0.463	117	0.75	0.537	691	0.627
MAP1LC3B2	-0.95	5	-0.09	0.465	118	0.75	0.535	690	0.626
DPY19L2	-0.91	5	-0.08	0.469	119	0.75	0.531	689	0.621
IFT27	-0.91	5	-0.08	0.47	120	0.75	0.53	688	0.621
XPA	-0.89	5	-0.07	0.471	121	0.75	0.529	687	0.621
HIST1H2AE	-0.83	5	-0.06	0.478	122	0.75	0.522	686	0.614
INVS	-0.79	5	-0.05	0.482	123	0.75	0.518	685	0.611
APITD1	-0.79	5	-0.05	0.482	124	0.75	0.518	684	0.611
PRRC2A	-0.79	5	-0.05	0.482	125	0.75	0.518	683	0.611
TESK1	-0.78	5	-0.04	0.483	126	0.75	0.517	682	0.611
GJC3	-0.77	5	-0.04	0.484	127	0.75	0.516	681	0.611
MAD2L1BP	-0.74	5	-0.03	0.487	128	0.75	0.513	680	0.609
CEP78	-0.73	5	-0.03	0.488	129	0.75	0.512	679	0.608
OR8S1	-0.73	5	-0.03	0.488	130	0.75	0.512	678	0.608
chr1_5	-0.32	1	-0.03	0.489	131	0.75	0.511	677	0.608
MUS81	-0.69	5	-0.02	0.492	132	0.75	0.508	676	0.606
DNAJB5	-0.63	5	-0.00	0.498	133	0.75	0.502	675	0.6
MSH4	-0.63	5	-0.00	0.498	134	0.75	0.502	674	0.6
VAV3	-0.62	5	-0.00	0.5	135	0.75	0.5	673	0.6
SORBS1	-0.61	5	0.00	0.5	136	0.75	0.5	672	0.6
IHH	-0.53	4	0.01	0.503	137	0.75	0.497	671	0.598
PLCB2	-0.58	5	0.01	0.504	138	0.75	0.496	670	0.597
TMPRSS12	-0.57	5	0.01	0.504	139	0.75	0.496	669	0.597
KDM3A	-0.57	5	0.01	0.505	140	0.75	0.495	668	0.597
VWA5B1	-0.56	5	0.01	0.506	141	0.75	0.494	667	0.597
CEACAM20	-0.54	5	0.02	0.508	142	0.75	0.492	666	0.596
FANCG	-0.53	5	0.02	0.509	143	0.75	0.491	665	0.596
C17orf78	-0.53	5	0.02	0.509	144	0.75	0.491	664	0.596
MRPS26	-0.51	5	0.03	0.511	145	0.75	0.489	663	0.595
ROBO2	-0.51	5	0.03	0.512	146	0.75	0.488	662	0.595
HOXD13	-0.47	5	0.04	0.516	147	0.75	0.484	661	0.591
TRABD	-0.46	5	0.04	0.517	148	0.75	0.483	660	0.591
SDCCAG3	-0.45	5	0.04	0.517	149	0.75	0.483	659	0.591
MTERF1	-0.45	5	0.04	0.518	150	0.75	0.482	658	0.591
FABP1	-0.44	5	0.05	0.518	151	0.75	0.482	657	0.591
chr19_4	-0.20	1	0.05	0.518	152	0.75	0.482	656	0.591
NUMB	-0.44	5	0.05	0.519	153	0.75	0.481	655	0.591
USP20	-0.43	5	0.05	0.52	154	0.75	0.48	654	0.591
MSH6	-0.42	5	0.05	0.52	155	0.75	0.48	653	0.591
chr21_8	-0.19	1	0.05	0.521	156	0.75	0.479	652	0.591
BMP10	-0.42	5	0.05	0.521	157	0.75	0.479	651	0.591
POLD4	-0.42	5	0.05	0.521	158	0.75	0.479	650	0.591
LCE6A	-0.42	5	0.05	0.521	159	0.75	0.479	649	0.591
chr14_7	-0.18	1	0.06	0.523	160	0.75	0.477	648	0.591
PLCL1	-0.39	5	0.06	0.524	161	0.75	0.476	647	0.591
chr2_1	-0.17	1	0.06	0.524	162	0.75	0.476	646	0.591
chr17_11	-0.17	1	0.06	0.524	163	0.75	0.476	645	0.591
PCGF1	-0.38	5	0.06	0.525	164	0.75	0.475	644	0.591
FBXO34	-0.35	5	0.07	0.528	165	0.75	0.472	643	0.591
C21orf62	-0.35	5	0.07	0.528	166	0.75	0.472	642	0.591
MSANTD4	-0.35	5	0.07	0.528	167	0.75	0.472	641	0.591
OLFML3	-0.34	5	0.07	0.529	168	0.75	0.471	640	0.591
KANK3	-0.33	5	0.08	0.53	169	0.75	0.47	639	0.591
chr19_2	-0.14	1	0.08	0.531	170	0.75	0.469	638	0.591
MANSC1	-0.32	5	0.08	0.531	171	0.75	0.469	637	0.591
chr14_10	-0.14	1	0.08	0.532	172	0.75	0.468	636	0.591
CHGA	-0.31	5	0.08	0.532	173	0.75	0.468	635	0.591
SLC16A13	-0.31	5	0.08	0.532	174	0.75	0.468	634	0.591
TMEM30A	-0.30	5	0.08	0.533	175	0.75	0.467	633	0.591
chr17_2	-0.13	1	0.08	0.533	176	0.75	0.467	632	0.591
chr15_5	-0.13	1	0.09	0.534	177	0.75	0.466	631	0.591
CPLX2	-0.29	5	0.09	0.534	178	0.75	0.466	630	0.591
chr12_7	-0.13	1	0.09	0.534	179	0.75	0.466	629	0.591
ST6GAL2	-0.29	5	0.09	0.534	180	0.75	0.466	628	0.591
GAGE12I	-0.28	5	0.09	0.536	181	0.75	0.464	627	0.591
PHC3	-0.28	5	0.09	0.536	182	0.75	0.464	626	0.591
ELN	-0.27	5	0.09	0.536	183	0.75	0.464	625	0.591
chr6_4	-0.12	1	0.09	0.537	184	0.75	0.463	624	0.591
PABPC1L	-0.27	5	0.09	0.537	185	0.75	0.463	623	0.591
INO80C	-0.27	5	0.09	0.537	186	0.75	0.463	622	0.591
HYDIN	-0.26	5	0.09	0.537	187	0.75	0.463	621	0.591
HLA-DOB	-0.26	5	0.10	0.538	188	0.75	0.462	620	0.591
RMI1	-0.22	5	0.11	0.542	189	0.75	0.458	619	0.591
chr6_7	-0.09	1	0.11	0.542	190	0.75	0.458	618	0.591
DNAH3	-0.19	5	0.11	0.545	191	0.75	0.455	617	0.591
chr11_6	-0.08	1	0.11	0.546	192	0.75	0.454	616	0.591
chr9_4	-0.08	1	0.12	0.546	193	0.75	0.454	615	0.591
MPP3	-0.17	5	0.12	0.547	194	0.75	0.453	614	0.591
GLT8D1	-0.17	5	0.12	0.547	195	0.75	0.453	613	0.591
ZCCHC10	-0.16	5	0.12	0.548	196	0.75	0.452	612	0.591
ELK1	-0.15	5	0.12	0.549	197	0.75	0.451	611	0.591
PEPD	-0.15	5	0.12	0.549	198	0.75	0.451	610	0.591
OGFOD1	-0.15	5	0.12	0.549	199	0.75	0.451	609	0.591
COL14A1	-0.14	5	0.12	0.55	200	0.75	0.45	608	0.591
SLC38A4	-0.14	5	0.13	0.55	201	0.75	0.45	607	0.591
chr16_9	-0.06	1	0.13	0.551	202	0.75	0.449	606	0.591
CYB5D1	-0.13	5	0.13	0.551	203	0.75	0.449	605	0.591
STRN3	-0.13	5	0.13	0.551	204	0.75	0.449	604	0.591
chr2_3	-0.06	1	0.13	0.551	205	0.75	0.449	603	0.591
PDF	-0.12	5	0.13	0.552	206	0.75	0.448	602	0.591
RNF43	-0.12	5	0.13	0.552	207	0.75	0.448	601	0.591
chr16_2	-0.05	1	0.13	0.552	208	0.75	0.448	600	0.591
MLH3	-0.11	5	0.13	0.553	209	0.75	0.447	599	0.591
UCN2	-0.10	5	0.14	0.554	210	0.75	0.446	598	0.591
TRHDE	-0.10	5	0.14	0.554	211	0.75	0.446	597	0.591
TNFSF9	-0.10	5	0.14	0.554	212	0.75	0.446	596	0.591
NEDD4	-0.09	5	0.14	0.555	213	0.75	0.445	595	0.591
CEACAM5	-0.09	5	0.14	0.556	214	0.75	0.444	594	0.591
chr10_10	-0.04	1	0.14	0.556	215	0.75	0.444	593	0.591
PID1	-0.08	5	0.14	0.556	216	0.75	0.444	592	0.591
KLK11	-0.08	5	0.14	0.556	217	0.75	0.444	591	0.591
NPAS2	-0.07	5	0.14	0.557	218	0.75	0.443	590	0.591
GUCY2C	-0.07	5	0.14	0.557	219	0.75	0.443	589	0.591
KRT23	-0.06	5	0.15	0.558	220	0.75	0.442	588	0.591
RHOG	-0.06	5	0.15	0.559	221	0.75	0.441	587	0.591
MFHAS1	-0.05	5	0.15	0.559	222	0.75	0.441	586	0.591
chr17_1	-0.02	1	0.15	0.559	223	0.75	0.441	585	0.591
chr7_4	-0.02	1	0.15	0.561	224	0.75	0.439	584	0.591
FOXRED2	-0.03	5	0.15	0.561	225	0.75	0.439	583	0.591
ALKBH6	-0.03	5	0.15	0.561	226	0.75	0.439	582	0.591
chr15_2	-0.02	1	0.15	0.561	227	0.75	0.439	581	0.591
CLDN7	-0.03	5	0.16	0.562	228	0.75	0.438	580	0.591
HS3ST4	-0.02	5	0.16	0.563	229	0.75	0.437	579	0.591
ATF6B	-0.02	5	0.16	0.563	230	0.75	0.437	578	0.591
ZNF485	-0.01	5	0.16	0.564	231	0.75	0.436	577	0.591
SMIM15	-0.01	5	0.16	0.564	232	0.75	0.436	576	0.591
ZNF200	-0.00	5	0.16	0.564	233	0.75	0.436	575	0.591
RPL22L1	0.01	5	0.16	0.565	234	0.75	0.435	574	0.591
GGA3	0.01	5	0.16	0.565	235	0.75	0.435	573	0.591
CYP4F8	0.01	5	0.16	0.565	236	0.75	0.435	572	0.591
PMS2	0.01	5	0.17	0.566	237	0.75	0.434	571	0.591
chr15_11	0.01	1	0.17	0.566	238	0.75	0.434	570	0.591
OR2T33	0.02	5	0.17	0.566	239	0.75	0.434	569	0.591
HPN	0.02	5	0.17	0.566	240	0.75	0.434	568	0.591
CCDC106	0.03	5	0.17	0.567	241	0.75	0.433	567	0.591
LRFN2	0.04	5	0.17	0.568	242	0.75	0.432	566	0.591
MORN4	0.05	5	0.18	0.57	243	0.75	0.43	565	0.591
FEN1	0.06	5	0.18	0.571	244	0.75	0.429	564	0.591
chr8_8	0.03	1	0.18	0.571	245	0.75	0.429	563	0.591
TFCP2L1	0.06	5	0.18	0.571	246	0.75	0.429	562	0.591
MCRIP2	0.06	5	0.18	0.571	247	0.75	0.429	561	0.591
chr12_3	0.03	1	0.18	0.572	248	0.75	0.428	560	0.591
C10orf82	0.07	5	0.18	0.572	249	0.75	0.428	559	0.591
chr21_3	0.03	1	0.18	0.572	250	0.75	0.428	558	0.591
CCDC97	0.08	5	0.18	0.573	251	0.75	0.427	557	0.591
chr14_1	0.04	1	0.18	0.573	252	0.75	0.427	556	0.591
chr21_11	0.04	1	0.19	0.574	253	0.75	0.426	555	0.591
TMEM198	0.10	5	0.19	0.575	254	0.75	0.425	554	0.591
MDM2	0.10	5	0.19	0.575	255	0.75	0.425	553	0.591
chr6_6	0.04	1	0.19	0.575	256	0.75	0.425	552	0.591
GCG	0.10	5	0.19	0.575	257	0.75	0.425	551	0.591
NR0B2	0.10	5	0.19	0.575	258	0.75	0.425	550	0.591
NCK2	0.11	5	0.19	0.575	259	0.75	0.425	549	0.591
NME5	0.11	5	0.19	0.576	260	0.75	0.424	548	0.591
ZNF341	0.11	5	0.19	0.576	261	0.75	0.424	547	0.591
chr1_2	0.05	1	0.19	0.576	262	0.75	0.424	546	0.591
AKAP2	0.11	5	0.19	0.576	263	0.75	0.424	545	0.591
IGFLR1	0.12	5	0.19	0.576	264	0.75	0.424	544	0.591
chr16_3	0.05	1	0.19	0.577	265	0.75	0.423	543	0.591
chr6_5	0.06	1	0.20	0.577	266	0.75	0.423	542	0.591
PLAGL2	0.12	5	0.20	0.577	267	0.75	0.423	541	0.591
POLH	0.13	5	0.20	0.578	268	0.75	0.422	540	0.591
chr16_6	0.06	1	0.20	0.578	269	0.75	0.422	539	0.591
DMRTC1B	0.14	5	0.20	0.579	270	0.75	0.421	538	0.591
chr7_6	0.06	1	0.20	0.579	271	0.75	0.421	537	0.591
KIAA0825	0.14	5	0.20	0.579	272	0.75	0.421	536	0.591
MICB	0.14	5	0.20	0.579	273	0.75	0.421	535	0.591
chr15_10	0.06	1	0.20	0.58	274	0.75	0.42	534	0.591
CTSS	0.15	5	0.20	0.58	275	0.75	0.42	533	0.591
IQSEC3	0.15	5	0.20	0.58	276	0.75	0.42	532	0.591
chr15_8	0.07	1	0.20	0.58	277	0.75	0.42	531	0.591
chr15_6	0.07	1	0.20	0.581	278	0.75	0.419	530	0.591
chr12_6	0.07	1	0.20	0.581	279	0.75	0.419	529	0.591
chr7_2	0.07	1	0.20	0.581	280	0.75	0.419	528	0.591
chr3_2	0.08	1	0.21	0.582	281	0.75	0.418	527	0.591
CANT1	0.17	5	0.21	0.582	282	0.75	0.418	526	0.591
TMEM38B	0.17	5	0.21	0.582	283	0.75	0.418	525	0.591
ASCL2	0.18	5	0.21	0.583	284	0.75	0.417	524	0.591
chr10_3	0.08	1	0.21	0.584	285	0.75	0.416	523	0.591
chr13_2	0.09	1	0.21	0.585	286	0.75	0.415	522	0.591
NFKBID	0.20	5	0.21	0.585	287	0.75	0.415	521	0.591
chr12_8	0.09	1	0.22	0.585	288	0.75	0.415	520	0.591
chr14_3	0.09	1	0.22	0.585	289	0.75	0.415	519	0.591
chr1_4	0.09	1	0.22	0.586	290	0.75	0.414	518	0.591
chr2_2	0.09	1	0.22	0.586	291	0.75	0.414	517	0.591
SHANK1	0.21	5	0.22	0.586	292	0.75	0.414	516	0.591
ZSWIM3	0.21	5	0.22	0.586	293	0.75	0.414	515	0.591
chr10_6	0.10	1	0.22	0.588	294	0.75	0.412	514	0.591
FAM78A	0.23	5	0.22	0.588	295	0.75	0.412	513	0.591
KCNK5	0.23	5	0.22	0.588	296	0.75	0.412	512	0.591
chr8_2	0.10	1	0.22	0.588	297	0.75	0.412	511	0.591
chr14_8	0.10	1	0.22	0.588	298	0.75	0.412	510	0.591
chr3_4	0.10	1	0.22	0.589	299	0.75	0.411	509	0.591
chr10_1	0.10	1	0.22	0.589	300	0.75	0.411	508	0.591
ERCC6L2	0.23	5	0.22	0.589	301	0.75	0.411	507	0.591
BCL2L10	0.23	5	0.22	0.589	302	0.75	0.411	506	0.591
chr1_10	0.11	1	0.22	0.589	303	0.75	0.411	505	0.591
chr16_5	0.11	1	0.23	0.59	304	0.75	0.41	504	0.591
chr19_8	0.11	1	0.23	0.59	305	0.75	0.41	503	0.591
chr20_7	0.11	1	0.23	0.59	306	0.75	0.41	502	0.591
MSH2	0.25	5	0.23	0.59	307	0.75	0.41	501	0.591
PCTP	0.25	5	0.23	0.59	308	0.75	0.41	500	0.591
PRR11	0.25	5	0.23	0.591	309	0.75	0.409	499	0.591
chr7_9	0.11	1	0.23	0.591	310	0.75	0.409	498	0.591
LMNA	0.25	5	0.23	0.591	311	0.75	0.409	497	0.591
chr5_5	0.11	1	0.23	0.591	312	0.75	0.409	496	0.591
chr18_1	0.12	1	0.23	0.591	313	0.75	0.409	495	0.591
KRTAP12-4	0.26	5	0.23	0.591	314	0.75	0.409	494	0.591
chr16_8	0.12	1	0.23	0.592	315	0.75	0.408	493	0.591
CRISPLD2	0.27	5	0.23	0.592	316	0.75	0.408	492	0.591
EPN3	0.27	5	0.23	0.592	317	0.75	0.408	491	0.591
PMS1	0.27	5	0.23	0.592	318	0.75	0.408	490	0.591
chr13_3	0.12	1	0.23	0.593	319	0.75	0.407	489	0.591
chr7_10	0.12	1	0.23	0.593	320	0.75	0.407	488	0.591
chr2_4	0.12	1	0.23	0.593	321	0.75	0.407	487	0.591
GGA2	0.28	5	0.24	0.593	322	0.75	0.407	486	0.591
MRAP2	0.28	5	0.24	0.593	323	0.75	0.407	485	0.591
TNNT1	0.28	5	0.24	0.593	324	0.75	0.407	484	0.591
chr16_7	0.13	1	0.24	0.594	325	0.75	0.406	483	0.591
MLF1	0.29	5	0.24	0.594	326	0.75	0.406	482	0.591
CPT2	0.30	5	0.24	0.595	327	0.75	0.405	481	0.591
chr19_6	0.13	1	0.24	0.595	328	0.75	0.405	480	0.591
CNTNAP4	0.30	5	0.24	0.595	329	0.75	0.405	479	0.591
chr2_10	0.13	1	0.24	0.595	330	0.75	0.405	478	0.591
DXO	0.31	5	0.24	0.596	331	0.75	0.404	477	0.591
KIF20B	0.31	5	0.24	0.596	332	0.75	0.404	476	0.591
CEP68	0.31	5	0.24	0.596	333	0.75	0.404	475	0.591
ZNF665	0.31	5	0.24	0.597	334	0.75	0.403	474	0.591
STX16	0.32	5	0.25	0.597	335	0.75	0.403	473	0.591
NCOA1	0.32	5	0.25	0.597	336	0.75	0.403	472	0.591
chrX_8	0.14	1	0.25	0.598	337	0.75	0.402	471	0.591
chr5_4	0.14	1	0.25	0.598	338	0.75	0.402	470	0.591
CC2D2B	0.32	5	0.25	0.598	339	0.75	0.402	469	0.591
SNX30	0.33	5	0.25	0.599	340	0.75	0.401	468	0.591
chr13_6	0.15	1	0.25	0.599	341	0.75	0.401	467	0.591
chr1_11	0.15	1	0.25	0.599	342	0.75	0.401	466	0.591
chr14_11	0.15	1	0.25	0.6	343	0.75	0.4	465	0.591
chr2_8	0.16	1	0.25	0.6	344	0.75	0.4	464	0.591
C15orf40	0.35	5	0.26	0.601	345	0.75	0.399	463	0.591
chr13_5	0.16	1	0.26	0.601	346	0.75	0.399	462	0.591
chr1_1	0.16	1	0.26	0.601	347	0.75	0.399	461	0.591
BLCAP	0.36	5	0.26	0.601	348	0.75	0.399	460	0.591
chr2_9	0.16	1	0.26	0.602	349	0.75	0.398	459	0.591
chr21_5	0.16	1	0.26	0.602	350	0.75	0.398	458	0.591
chr8_5	0.16	1	0.26	0.602	351	0.75	0.398	457	0.591
chr4_1	0.16	1	0.26	0.602	352	0.75	0.398	456	0.591
SOCS7	0.36	5	0.26	0.602	353	0.75	0.398	455	0.591
LYPD5	0.37	5	0.26	0.602	354	0.75	0.398	454	0.591
chr10_2	0.17	1	0.26	0.602	355	0.75	0.398	453	0.591
chr15_7	0.17	1	0.26	0.603	356	0.75	0.397	452	0.591
LTN1	0.37	5	0.26	0.603	357	0.75	0.397	451	0.591
chr4_7	0.17	1	0.26	0.603	358	0.75	0.397	450	0.591
B3GALNT1	0.38	5	0.26	0.603	359	0.75	0.397	449	0.591
ROCK2	0.38	5	0.26	0.604	360	0.75	0.396	448	0.591
chr9_2	0.17	1	0.26	0.604	361	0.75	0.396	447	0.591
chr15_1	0.17	1	0.26	0.604	362	0.75	0.396	446	0.591
CEACAM3	0.39	5	0.26	0.604	363	0.75	0.396	445	0.591
chr19_5	0.17	1	0.26	0.604	364	0.75	0.396	444	0.591
RIMS4	0.39	5	0.26	0.604	365	0.75	0.396	443	0.591
GLYATL1	0.39	5	0.26	0.604	366	0.75	0.396	442	0.591
chr17_10	0.17	1	0.27	0.605	367	0.75	0.395	441	0.591
SLC25A22	0.40	5	0.27	0.605	368	0.75	0.395	440	0.591
ERICH5	0.40	5	0.27	0.605	369	0.75	0.395	439	0.591
chr9_3	0.18	1	0.27	0.606	370	0.75	0.394	438	0.591
chr7_1	0.18	1	0.27	0.606	371	0.75	0.394	437	0.591
chr12_5	0.18	1	0.27	0.607	372	0.75	0.393	436	0.591
ZFHX2	0.41	5	0.27	0.607	373	0.75	0.393	435	0.591
CAMK1D	0.42	5	0.27	0.607	374	0.75	0.393	434	0.591
chr19_1	0.19	1	0.27	0.607	375	0.75	0.393	433	0.591
chr16_1	0.19	1	0.27	0.608	376	0.75	0.392	432	0.591
PNRC1	0.42	5	0.27	0.608	377	0.75	0.392	431	0.591
