	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
NCKIPSD-2	NCKIPSD	2522.000	0.075	0.698	0.107	0.127	5.000
KIAA1522-5	KIAA1522	2518.667	0.073	0.698	0.105	0.155	5.000
NELL1-2	NELL1	2515.667	0.064	0.698	0.092	0.178	5.000
KLK11-1	KLK11	2512.333	0.099	0.698	0.142	0.595	5.000
CPLX2-2	CPLX2	2508.333	0.174	0.698	0.250	0.533	5.000
DUSP18-1	DUSP18	2508.000	0.302	0.698	0.433	0.153	5.000
FZD10-4	FZD10	2502.667	0.245	0.698	0.350	0.088	5.000
MGAT3-4	MGAT3	2502.000	0.160	0.698	0.229	0.045	5.000
CH25H-4	CH25H	2491.667	0.278	0.698	0.397	0.216	5.000
CYP24A1-4	CYP24A1	2491.333	0.280	0.698	0.401	0.115	5.000
TBC1D9-5	TBC1D9	2488.667	0.216	0.698	0.309	0.112	5.000
PSMD7-5	PSMD7	2486.000	-2.140	0.698	-3.064	0.944	5.000
PLAGL2-3	PLAGL2	2484.667	0.068	0.698	0.098	0.082	5.000
KRTAP12-4-4	KRTAP12-4	2480.333	0.222	0.698	0.318	0.497	5.000
HSBP1-1	HSBP1	2477.000	0.293	0.698	0.419	0.190	5.000
PNMA1-1	PNMA1	2465.000	0.159	0.698	0.228	1.154	5.000
PLAGL2-4	PLAGL2	2461.000	0.087	0.698	0.124	0.082	5.000
TNNT1-2	TNNT1	2460.333	0.136	0.698	0.195	0.143	5.000
RSPH14-4	RSPH14	2455.333	0.139	0.698	0.200	0.041	5.000
EHD3-1	EHD3	2451.667	0.193	0.698	0.277	0.153	5.000
APOL1-1	APOL1	2450.667	0.198	0.698	0.284	0.202	5.000
chr17_9	chr17_9	2448.667	0.167	0.698	0.239	0.000	1.000
NEDD4-3	NEDD4	2445.000	-0.038	0.698	-0.055	0.059	5.000
AAGAB-5	AAGAB	2443.333	0.058	0.698	0.083	0.172	5.000
ZFHX2-3	ZFHX2	2437.667	0.007	0.698	0.010	0.270	5.000
WIPF1-3	WIPF1	2434.000	0.018	0.698	0.026	0.088	5.000
TTC7A-5	TTC7A	2427.667	0.237	0.698	0.339	0.120	5.000
RPL5-1	RPL5	2424.000	-0.074	0.698	-0.107	1.753	5.000
TRIM7-5	TRIM7	2421.333	0.143	0.698	0.205	0.157	5.000
chr16_2	chr16_2	2420.333	-0.037	0.698	-0.054	0.000	1.000
COL2A1-3	COL2A1	2411.333	0.100	0.698	0.144	0.249	5.000
KIAA1522-1	KIAA1522	2410.667	0.135	0.698	0.194	0.155	5.000
DNAH3-5	DNAH3	2409.667	0.041	0.698	0.059	0.066	5.000
CDKN1A-1	CDKN1A	2407.667	0.370	0.698	0.530	0.142	5.000
KLLN-2	KLLN	2404.333	0.255	0.698	0.364	0.117	5.000
PRR15-2	PRR15	2397.667	0.106	0.698	0.152	0.076	5.000
MAML1-5	MAML1	2390.333	0.213	0.698	0.304	0.100	5.000
C15orf40-2	C15orf40	2389.667	0.102	0.698	0.146	0.198	5.000
BLM-3	BLM	2389.333	-0.037	0.698	-0.054	0.363	5.000
LFNG-2	LFNG	2387.000	0.111	0.698	0.158	0.123	5.000
PILRA-3	PILRA	2387.000	0.058	0.698	0.082	0.686	5.000
KRTAP12-4-5	KRTAP12-4	2381.000	0.152	0.698	0.218	0.497	5.000
chr10_5	chr10_5	2379.000	0.231	0.698	0.331	0.000	1.000
MKL2-4	MKL2	2376.000	0.120	0.698	0.172	0.074	5.000
CLU-5	CLU	2373.333	0.095	0.698	0.136	0.110	5.000
SSR2-3	SSR2	2369.000	-0.021	0.698	-0.030	0.340	5.000
SLC16A13-1	SLC16A13	2368.333	-0.037	0.698	-0.052	0.098	5.000
IQSEC3-5	IQSEC3	2362.000	0.256	0.698	0.367	0.318	5.000
CEACAM5-3	CEACAM5	2361.667	0.126	0.698	0.180	0.298	5.000
chr5_6	chr5_6	2361.333	0.184	0.698	0.263	0.000	1.000
NUMB-5	NUMB	2361.000	0.014	0.698	0.019	0.269	5.000
chrX_6	chrX_6	2360.333	0.294	0.698	0.420	0.000	1.000
PRRT3-4	PRRT3	2356.667	0.183	0.698	0.262	0.249	5.000
LY6G5C-5	LY6G5C	2356.333	0.359	0.698	0.514	0.192	5.000
C15orf40-1	C15orf40	2353.333	0.001	0.698	0.002	0.198	5.000
TNFSF9-3	TNFSF9	2350.000	-0.122	0.698	-0.174	0.120	5.000
GGT7-1	GGT7	2347.333	0.158	0.698	0.227	0.105	5.000
PCDHA1-4	PCDHA1	2343.000	0.180	0.698	0.257	0.135	5.000
KLK11-3	KLK11	2342.667	0.166	0.698	0.237	0.595	5.000
RPS13-2	RPS13	2341.333	-2.224	0.698	-3.184	1.494	5.000
TFCP2L1-1	TFCP2L1	2341.000	-0.027	0.698	-0.039	0.138	5.000
ACE2-5	ACE2	2340.333	0.321	0.698	0.460	0.092	5.000
AMER3-1	AMER3	2339.667	0.115	0.698	0.164	0.918	5.000
RNF216-4	RNF216	2337.667	0.186	0.698	0.267	0.092	5.000
PKP1-4	PKP1	2335.000	0.170	0.698	0.244	0.137	5.000
HLA-DMA-3	HLA-DMA	2335.000	0.199	0.698	0.285	0.157	5.000
GNA11-2	GNA11	2330.667	0.278	0.698	0.398	0.271	5.000
NUP133-2	NUP133	2327.333	-1.712	0.698	-2.451	1.013	5.000
OR2T33-2	OR2T33	2326.667	0.058	0.698	0.083	0.226	5.000
SDR42E1-1	SDR42E1	2325.000	-0.133	0.698	-0.191	0.205	5.000
DYNLRB1-5	DYNLRB1	2314.333	-0.509	0.698	-0.729	1.438	5.000
SHROOM2-1	SHROOM2	2313.333	0.297	0.698	0.425	0.124	5.000
FAM109A-1	FAM109A	2312.000	0.032	0.698	0.046	0.069	5.000
CDKN1A-4	CDKN1A	2311.667	0.251	0.698	0.359	0.142	5.000
SPTBN1-5	SPTBN1	2305.000	0.130	0.698	0.187	0.133	5.000
GTF3C2-4	GTF3C2	2304.667	-1.281	0.698	-1.834	0.888	5.000
CDCA7L-1	CDCA7L	2302.000	0.295	0.698	0.422	0.156	5.000
IL2RG-5	IL2RG	2301.667	0.379	0.698	0.543	0.112	5.000
MED12-4	MED12	2300.667	1.077	0.698	1.542	0.201	5.000
LFNG-3	LFNG	2297.000	0.347	0.698	0.497	0.123	5.000
EIF4E2-3	EIF4E2	2296.667	0.069	0.698	0.099	0.227	5.000
MPP3-1	MPP3	2296.000	0.154	0.698	0.221	0.177	5.000
GAGE12I-5	GAGE12I	2293.333	0.046	0.698	0.066	0.173	5.000
GAGE12I-3	GAGE12I	2287.667	-0.178	0.698	-0.254	0.173	5.000
RPA1-2	RPA1	2286.333	-3.952	0.698	-5.658	2.688	5.000
GRP-1	GRP	2282.333	0.241	0.698	0.346	0.173	5.000
RBPJL-3	RBPJL	2281.333	0.103	0.698	0.147	0.073	5.000
chr20_1	chr20_1	2280.000	0.244	0.698	0.349	0.000	1.000
GNG4-1	GNG4	2279.333	0.243	0.698	0.347	0.045	5.000
ATP9A-1	ATP9A	2279.000	0.172	0.698	0.247	0.122	5.000
DNAH3-4	DNAH3	2277.333	-0.037	0.698	-0.054	0.066	5.000
IFT27-2	IFT27	2275.000	0.053	0.698	0.076	0.707	5.000
SLC50A1-1	SLC50A1	2267.000	0.230	0.698	0.330	0.164	5.000
GRHL1-1	GRHL1	2265.333	0.128	0.698	0.183	0.092	5.000
HLA-DMA-5	HLA-DMA	2264.000	0.286	0.698	0.410	0.157	5.000
NEURL1-2	NEURL1	2263.000	0.242	0.698	0.347	0.213	5.000
MFHAS1-4	MFHAS1	2262.000	0.312	0.698	0.447	0.237	5.000
NUP93-1	NUP93	2260.333	-2.482	0.698	-3.554	1.787	5.000
BLCAP-3	BLCAP	2258.000	0.292	0.698	0.418	0.240	5.000
HLA-DOB-2	HLA-DOB	2253.000	-0.094	0.698	-0.134	0.085	5.000
QPRT-5	QPRT	2251.000	0.035	0.698	0.050	0.106	5.000
PEX10-4	PEX10	2247.000	0.118	0.698	0.169	0.111	5.000
SLC38A4-1	SLC38A4	2244.667	-0.001	0.698	-0.001	0.131	5.000
PKP1-2	PKP1	2244.000	0.195	0.698	0.279	0.137	5.000
TMEM30A-1	TMEM30A	2243.667	-0.133	0.698	-0.190	0.385	5.000
FCN2-2	FCN2	2234.667	0.010	0.698	0.015	0.098	5.000
PRR11-1	PRR11	2234.667	0.054	0.698	0.078	0.033	5.000
SNX30-3	SNX30	2234.333	0.183	0.698	0.262	0.112	5.000
PDF-3	PDF	2233.667	0.097	0.698	0.140	0.160	5.000
POLD1-5	POLD1	2232.333	-3.902	0.698	-5.586	1.063	5.000
NELL1-4	NELL1	2231.667	0.395	0.698	0.565	0.178	5.000
TFG-3	TFG	2222.667	-0.073	0.698	-0.105	0.205	5.000
FANCG-4	FANCG	2219.667	-0.087	0.698	-0.125	0.228	5.000
KLK11-2	KLK11	2219.667	0.347	0.698	0.497	0.595	5.000
THPO-4	THPO	2219.000	0.127	0.698	0.181	0.141	5.000
B3GNT5-1	B3GNT5	2219.000	0.253	0.698	0.363	0.175	5.000
RYK-4	RYK	2217.000	0.176	0.698	0.252	0.095	5.000
OSR1-4	OSR1	2215.667	0.047	0.698	0.067	0.092	5.000
NPAS2-5	NPAS2	2215.000	-0.030	0.698	-0.042	0.059	5.000
FCN2-3	FCN2	2214.000	0.160	0.698	0.230	0.098	5.000
ALDH1A3-2	ALDH1A3	2213.667	0.253	0.698	0.362	0.130	5.000
HDHD3-3	HDHD3	2212.333	0.120	0.698	0.171	0.129	5.000
PCDHGA9-2	PCDHGA9	2207.333	0.102	0.698	0.146	0.198	5.000
BLM-1	BLM	2205.333	-0.748	0.698	-1.071	0.363	5.000
SYNGR2-2	SYNGR2	2204.667	0.145	0.698	0.208	0.159	5.000
TTC33-5	TTC33	2203.000	0.242	0.698	0.346	0.098	5.000
chr13_8	chr13_8	2202.000	0.248	0.698	0.355	0.000	1.000
FZD10-5	FZD10	2198.000	0.191	0.698	0.273	0.088	5.000
CRISPLD2-3	CRISPLD2	2197.000	0.392	0.698	0.561	0.553	5.000
GGA3-1	GGA3	2195.333	-0.013	0.698	-0.018	0.153	5.000
USP18-2	USP18	2194.000	-0.220	0.698	-0.315	0.255	5.000
PEX10-1	PEX10	2193.667	0.191	0.698	0.274	0.111	5.000
RIMS4-5	RIMS4	2191.000	0.198	0.698	0.283	0.180	5.000
NUP93-3	NUP93	2184.333	-0.495	0.698	-0.708	1.787	5.000
ELP4-1	ELP4	2183.000	-0.311	0.698	-0.446	0.233	5.000
KLK11-5	KLK11	2182.667	0.157	0.698	0.225	0.595	5.000
SLC16A13-2	SLC16A13	2181.333	0.063	0.698	0.090	0.098	5.000
DUSP18-2	DUSP18	2175.667	0.071	0.698	0.101	0.153	5.000
PPP1R3D-2	PPP1R3D	2174.333	0.232	0.698	0.332	0.120	5.000
RPS2-2	RPS2	2171.333	-2.837	0.698	-4.062	0.988	5.000
CRHR2-4	CRHR2	2167.667	0.198	0.698	0.284	0.113	5.000
KIAA1804-5	KIAA1804	2166.000	0.174	0.698	0.249	0.089	5.000
FGF13-3	FGF13	2159.333	0.237	0.698	0.339	0.126	5.000
PROX1-5	PROX1	2158.667	0.290	0.698	0.415	0.190	5.000
CHST4-1	CHST4	2158.000	0.225	0.698	0.322	0.149	5.000
IHH-4	IHH	2156.667	0.210	0.698	0.301	0.275	4.000
POLR2F-4	POLR2F	2154.000	-0.186	0.698	-0.266	0.721	5.000
PLEKHN1-5	PLEKHN1	2149.333	0.218	0.698	0.312	0.149	5.000
chr10_11	chr10_11	2148.667	0.255	0.698	0.365	0.000	1.000
FAM109A-5	FAM109A	2144.333	0.183	0.698	0.262	0.069	5.000
chr19_7	chr19_7	2143.667	0.165	0.698	0.237	0.000	1.000
chr14_8	chr14_8	2143.333	0.072	0.698	0.104	0.000	1.000
C21orf62-5	C21orf62	2142.000	-0.067	0.698	-0.097	0.298	5.000
KRT40-1	KRT40	2141.333	0.219	0.698	0.313	0.110	5.000
VWA5B1-4	VWA5B1	2141.333	0.205	0.698	0.294	0.574	5.000
SPIN3-2	SPIN3	2141.333	0.305	0.698	0.437	0.134	5.000
NEIL3-4	NEIL3	2141.000	0.355	0.698	0.509	0.459	5.000
UBE2QL1-3	UBE2QL1	2139.667	0.173	0.698	0.248	0.067	5.000
RPA3-4	RPA3	2139.667	-1.576	0.698	-2.256	1.619	5.000
FZD10-3	FZD10	2137.333	0.250	0.698	0.358	0.088	5.000
SHROOM4-5	SHROOM4	2137.333	0.249	0.698	0.356	0.054	5.000
CRISPLD2-5	CRISPLD2	2136.333	0.179	0.698	0.256	0.553	5.000
TRABD-3	TRABD	2132.333	0.128	0.698	0.183	0.239	5.000
MLH1-1	MLH1	2132.000	0.158	0.698	0.226	0.218	5.000
FIBIN-5	FIBIN	2130.333	0.133	0.698	0.190	0.066	5.000
EPN3-5	EPN3	2130.000	0.191	0.698	0.274	0.221	5.000
RPS24-3	RPS24	2129.667	-0.187	0.698	-0.268	1.530	5.000
DNAJB5-1	DNAJB5	2129.000	0.095	0.698	0.137	0.162	5.000
TFCP2L1-2	TFCP2L1	2127.333	-0.122	0.698	-0.174	0.138	5.000
QPRT-4	QPRT	2127.000	0.109	0.698	0.156	0.106	5.000
HLA-DMA-1	HLA-DMA	2126.667	-0.016	0.698	-0.023	0.157	5.000
ERCC1-4	ERCC1	2126.000	-0.318	0.698	-0.456	0.202	5.000
RAPH1-1	RAPH1	2125.000	-0.222	0.698	-0.318	0.141	5.000
RAB2B-3	RAB2B	2124.000	0.127	0.698	0.182	0.058	5.000
TMEM176A-4	TMEM176A	2123.333	0.246	0.698	0.352	0.110	5.000
CCR1-5	CCR1	2122.667	0.386	0.698	0.552	0.258	5.000
RAB2B-4	RAB2B	2122.333	0.158	0.698	0.227	0.058	5.000
NEU4-2	NEU4	2116.333	0.222	0.698	0.318	0.073	5.000
DYNLRB1-2	DYNLRB1	2114.333	-0.686	0.698	-0.982	1.438	5.000
TRHDE-2	TRHDE	2114.000	0.070	0.698	0.101	0.243	5.000
RIMS4-3	RIMS4	2114.000	-0.102	0.698	-0.146	0.180	5.000
GPR143-2	GPR143	2112.667	0.205	0.698	0.293	0.135	5.000
TRHDE-3	TRHDE	2110.667	-0.010	0.698	-0.015	0.243	5.000
RPS13-5	RPS13	2110.333	-2.058	0.698	-2.947	1.494	5.000
SHROOM2-5	SHROOM2	2110.000	0.477	0.698	0.682	0.124	5.000
ERICH5-5	ERICH5	2110.000	0.177	0.698	0.253	0.185	5.000
TRPM5-2	TRPM5	2108.333	0.264	0.698	0.378	0.152	5.000
IGFLR1-2	IGFLR1	2106.333	0.241	0.698	0.344	0.178	5.000
TMEM198-2	TMEM198	2105.667	0.168	0.698	0.241	0.295	5.000
chr19_3	chr19_3	2098.000	0.417	0.698	0.597	0.000	1.000
SLC25A22-3	SLC25A22	2097.667	0.091	0.698	0.130	0.111	5.000
PFKL-4	PFKL	2096.000	0.215	0.698	0.308	0.070	5.000
NEURL1-4	NEURL1	2093.667	0.119	0.698	0.170	0.213	5.000
KHDRBS3-3	KHDRBS3	2093.000	0.094	0.698	0.135	0.129	5.000
PPP1R3D-5	PPP1R3D	2090.667	0.232	0.698	0.332	0.120	5.000
VEZT-2	VEZT	2089.000	-0.835	0.698	-1.196	0.225	5.000
ZSCAN31-1	ZSCAN31	2086.333	0.323	0.698	0.463	0.107	5.000
RFC1-4	RFC1	2084.667	-4.279	0.698	-6.126	2.501	5.000
SERINC1-3	SERINC1	2081.000	0.249	0.698	0.357	0.120	5.000
chrX_3	chrX_3	2081.000	0.182	0.698	0.260	0.000	1.000
SATL1-2	SATL1	2081.000	0.305	0.698	0.437	0.180	5.000
MEF2D-5	MEF2D	2079.333	0.255	0.698	0.366	0.092	5.000
FAM217A-1	FAM217A	2078.667	0.125	0.698	0.178	0.092	5.000
C8orf31-1	C8orf31	2077.000	0.165	0.698	0.236	0.126	5.000
MEF2D-4	MEF2D	2073.667	0.269	0.698	0.386	0.092	5.000
NUP133-4	NUP133	2072.333	0.409	0.698	0.585	1.013	5.000
SHANK1-1	SHANK1	2070.333	-0.056	0.698	-0.080	0.172	5.000
C11orf42-5	C11orf42	2070.000	0.143	0.698	0.205	0.551	5.000
GCC2-1	GCC2	2069.333	0.018	0.698	0.025	0.158	5.000
FAM109A-4	FAM109A	2068.667	0.112	0.698	0.161	0.069	5.000
NR0B2-5	NR0B2	2068.333	-0.058	0.698	-0.082	0.086	5.000
ZNF341-2	ZNF341	2068.000	0.302	0.698	0.433	0.345	5.000
TRPM5-1	TRPM5	2065.333	0.114	0.698	0.164	0.152	5.000
LMNA-1	LMNA	2064.667	0.193	0.698	0.276	0.175	5.000
KIAA0825-2	KIAA0825	2064.667	0.076	0.698	0.109	0.294	5.000
GPR143-5	GPR143	2062.333	0.294	0.698	0.421	0.135	5.000
BCL2L10-1	BCL2L10	2061.333	0.193	0.698	0.276	0.191	5.000
PID1-4	PID1	2061.000	0.199	0.698	0.285	0.475	5.000
NEUROD2-1	NEUROD2	2060.667	0.294	0.698	0.421	0.157	5.000
OR51F2-3	OR51F2	2060.000	-0.002	0.698	-0.003	0.157	5.000
CAB39L-1	CAB39L	2059.667	0.234	0.698	0.336	0.036	5.000
POLD4-4	POLD4	2059.000	-0.032	0.698	-0.046	0.127	5.000
SLC13A2-5	SLC13A2	2058.667	-0.058	0.698	-0.083	0.185	5.000
PEPD-1	PEPD	2058.333	-0.136	0.698	-0.195	0.242	5.000
UNKL-1	UNKL	2058.000	0.194	0.698	0.277	0.131	5.000
POLI-3	POLI	2057.333	0.269	0.698	0.386	0.116	5.000
MSH5-2	MSH5	2056.000	0.183	0.698	0.262	0.242	5.000
chr15_2	chr15_2	2056.000	-0.011	0.698	-0.015	0.000	1.000
CXCL5-3	CXCL5	2053.667	0.134	0.698	0.191	0.237	4.000
ABLIM3-3	ABLIM3	2053.333	0.376	0.698	0.538	0.184	5.000
KIAA1549L-2	KIAA1549L	2053.000	0.222	0.698	0.319	0.077	5.000
TH-3	TH	2051.333	0.284	0.698	0.406	0.132	5.000
SATL1-3	SATL1	2050.000	0.139	0.698	0.198	0.180	5.000
ERCC1-5	ERCC1	2049.333	-0.257	0.698	-0.368	0.202	5.000
MLH1-2	MLH1	2048.000	0.225	0.698	0.322	0.218	5.000
PSMB3-3	PSMB3	2046.667	-5.223	0.698	-7.478	2.779	5.000
ADAM7-1	ADAM7	2046.667	0.104	0.698	0.148	0.092	5.000
TMPRSS13-3	TMPRSS13	2046.667	0.263	0.698	0.376	0.044	5.000
HOXD13-3	HOXD13	2046.333	0.248	0.698	0.355	0.238	5.000
chr10_9	chr10_9	2046.000	0.210	0.698	0.301	0.000	1.000
SMIM15-4	SMIM15	2045.000	-0.133	0.698	-0.190	0.218	5.000
FBN3-1	FBN3	2045.000	-0.005	0.698	-0.007	0.156	5.000
FOXO1-3	FOXO1	2043.333	0.360	0.698	0.515	0.250	5.000
chrX_1	chrX_1	2042.333	0.362	0.698	0.518	0.000	1.000
GRHL1-5	GRHL1	2040.000	0.142	0.698	0.204	0.092	5.000
PMS2-1	PMS2	2040.000	0.203	0.698	0.291	0.645	5.000
APITD1-5	APITD1	2039.333	-0.073	0.698	-0.105	0.201	5.000
TMEM30A-5	TMEM30A	2039.333	0.430	0.698	0.615	0.385	5.000
ELF5-3	ELF5	2038.000	0.216	0.698	0.310	0.065	5.000
FABP1-3	FABP1	2036.333	0.063	0.698	0.090	0.440	5.000
SLC50A1-3	SLC50A1	2035.000	0.011	0.698	0.016	0.164	5.000
ZDHHC1-2	ZDHHC1	2032.333	-0.092	0.698	-0.131	0.155	5.000
C5-5	C5	2031.000	0.220	0.698	0.316	0.119	5.000
TCF19-2	TCF19	2030.667	0.223	0.698	0.319	0.073	5.000
LOC643355-2	LOC643355	2030.333	0.213	0.698	0.305	0.217	5.000
RBPJL-2	RBPJL	2028.000	-0.011	0.698	-0.015	0.073	5.000
DUOX2-2	DUOX2	2027.667	0.209	0.698	0.299	0.089	5.000
NUP98-1	NUP98	2027.667	-1.176	0.698	-1.683	1.064	5.000
CEP68-1	CEP68	2027.333	0.273	0.698	0.391	0.320	5.000
PLEKHN1-3	PLEKHN1	2025.333	0.225	0.698	0.323	0.149	5.000
C1QL4-2	C1QL4	2025.333	0.066	0.698	0.095	0.392	5.000
KIAA1522-4	KIAA1522	2025.000	0.382	0.698	0.547	0.155	5.000
RFC1-5	RFC1	2024.000	-1.086	0.698	-1.555	2.501	5.000
chr8_2	chr8_2	2024.000	0.072	0.698	0.102	0.000	1.000
EVC-1	EVC	2023.333	0.186	0.698	0.267	0.076	5.000
PML-4	PML	2023.333	0.179	0.698	0.257	0.149	5.000
GSTA1-5	GSTA1	2021.333	-0.631	0.698	-0.903	0.551	5.000
IGFLR1-4	IGFLR1	2019.333	-0.051	0.698	-0.074	0.178	5.000
chr10_4	chr10_4	2019.000	0.164	0.698	0.234	0.000	1.000
ZNF345-4	ZNF345	2019.000	0.198	0.698	0.284	0.130	5.000
SHROOM2-3	SHROOM2	2018.667	0.358	0.698	0.512	0.124	5.000
INO80C-2	INO80C	2016.667	-0.293	0.698	-0.419	0.190	5.000
SS18-1	SS18	2015.667	0.239	0.698	0.342	0.879	5.000
KDM3A-3	KDM3A	2015.333	-0.142	0.698	-0.203	0.195	5.000
chr1_8	chr1_8	2014.333	0.297	0.698	0.426	0.000	1.000
CUEDC1-3	CUEDC1	2013.667	0.287	0.698	0.411	0.264	5.000
chr11_1	chr11_1	2013.667	0.166	0.698	0.238	0.000	1.000
PSMC2-2	PSMC2	2012.667	-2.628	0.698	-3.763	1.206	5.000
BMP3-5	BMP3	2009.000	0.370	0.698	0.529	0.223	5.000
PSMC4-1	PSMC4	2008.000	-1.268	0.698	-1.815	1.689	5.000
GJC3-3	GJC3	2004.667	0.022	0.698	0.031	0.336	5.000
PILRA-1	PILRA	2003.667	0.015	0.698	0.022	0.686	5.000
RPS13-3	RPS13	2003.000	0.070	0.698	0.101	1.494	5.000
HIST3H2BB-2	HIST3H2BB	2001.333	0.239	0.698	0.342	0.491	5.000
NEU4-3	NEU4	1997.667	0.169	0.698	0.242	0.073	5.000
BCL6-5	BCL6	1996.333	-0.131	0.698	-0.187	0.525	5.000
HLA-DOB-5	HLA-DOB	1996.000	-0.085	0.698	-0.121	0.085	5.000
NT5C3B-5	NT5C3B	1995.667	-0.076	0.698	-0.109	0.730	5.000
RSF1-5	RSF1	1994.667	0.358	0.698	0.512	0.188	5.000
ZSCAN31-5	ZSCAN31	1994.000	0.187	0.698	0.268	0.107	5.000
TMPRSS13-4	TMPRSS13	1993.667	0.173	0.698	0.247	0.044	5.000
FAM109A-2	FAM109A	1991.333	0.099	0.698	0.141	0.069	5.000
TOM1L2-2	TOM1L2	1991.000	0.005	0.698	0.007	0.104	5.000
RIT1-2	RIT1	1990.667	0.046	0.698	0.065	0.114	5.000
DIMT1-2	DIMT1	1990.333	-1.533	0.698	-2.195	0.484	5.000
DEFB116-2	DEFB116	1989.333	0.183	0.698	0.263	0.045	5.000
ATP5L-5	ATP5L	1989.000	-0.284	0.698	-0.407	0.565	5.000
PRR21-3	PRR21	1989.000	0.171	0.698	0.245	0.109	5.000
CCR1-4	CCR1	1987.333	0.330	0.698	0.472	0.258	5.000
chrX_7	chrX_7	1986.333	0.336	0.698	0.480	0.000	1.000
chr17_5	chr17_5	1986.000	0.184	0.698	0.263	0.000	1.000
RGMA-2	RGMA	1984.333	0.235	0.698	0.336	0.062	5.000
MAML1-2	MAML1	1983.333	0.160	0.698	0.229	0.100	5.000
SHANK1-5	SHANK1	1980.667	0.116	0.698	0.166	0.172	5.000
NUP133-1	NUP133	1980.333	-1.163	0.698	-1.665	1.013	5.000
MFHAS1-3	MFHAS1	1980.000	-0.097	0.698	-0.139	0.237	5.000
NUMB-2	NUMB	1980.000	-0.043	0.698	-0.062	0.269	5.000
SATL1-5	SATL1	1979.333	0.403	0.698	0.576	0.180	5.000
ATP5L-1	ATP5L	1977.333	-0.036	0.698	-0.051	0.565	5.000
KCNK17-2	KCNK17	1977.000	-0.368	0.698	-0.527	0.639	5.000
PHF19-3	PHF19	1977.000	-0.030	0.698	-0.043	0.112	5.000
chr4_2	chr4_2	1976.000	0.413	0.698	0.591	0.000	1.000
ERCC4-1	ERCC4	1975.667	-0.626	0.698	-0.897	0.433	5.000
GAGE12I-2	GAGE12I	1975.333	0.152	0.698	0.218	0.173	5.000
ALS2CL-5	ALS2CL	1971.333	0.068	0.698	0.097	0.085	5.000
ZKSCAN8-4	ZKSCAN8	1969.667	0.409	0.698	0.586	0.221	5.000
PSMC4-5	PSMC4	1969.667	0.068	0.698	0.097	1.689	5.000
