GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
RFC5	-8.15	5	-1.92	0.0274	45	0.491	0.973	763	1
RPA3	-7.82	5	-1.84	0.0332	46	0.575	0.967	762	1
FTSJ3	-7.81	5	-1.83	0.0335	47	0.575	0.966	761	1
RRN3	-7.54	5	-1.76	0.0392	48	0.659	0.961	760	1
DIDO1	-7.46	5	-1.74	0.041	49	0.675	0.959	759	1
PCNA	-7.24	5	-1.68	0.0463	50	0.747	0.954	758	1
RPL11	-7.13	5	-1.65	0.0493	51	0.78	0.951	757	1
POLR2A	-6.78	5	-1.56	0.0594	52	0.804	0.941	756	1
PSMC4	-6.76	5	-1.55	0.0601	53	0.804	0.94	755	1
POLD3	-6.69	5	-1.54	0.0623	54	0.804	0.938	754	1
ELP4	-6.67	5	-1.53	0.0631	55	0.804	0.937	753	1
RPL34	-6.59	5	-1.51	0.0656	56	0.804	0.934	752	1
POLR2F	-6.44	5	-1.47	0.071	57	0.804	0.929	751	0.998
DDB1	-6.38	5	-1.45	0.0729	58	0.804	0.927	750	0.998
RPS8	-6.16	5	-1.39	0.0815	59	0.804	0.918	749	0.99
LMNA	-6.07	5	-1.37	0.0853	60	0.804	0.915	748	0.987
RPA2	-6.00	5	-1.35	0.0882	61	0.804	0.912	747	0.985
PSMD11	-5.89	5	-1.32	0.0929	62	0.804	0.907	746	0.981
RPL6	-3.72	2	-1.32	0.0932	63	0.804	0.907	745	0.981
FANCM	-5.85	5	-1.31	0.0946	64	0.804	0.905	744	0.981
ELK1	-5.69	5	-1.27	0.102	65	0.804	0.898	743	0.975
INO80C	-5.63	5	-1.26	0.105	66	0.804	0.895	742	0.974
KCNK5	-5.61	5	-1.25	0.106	67	0.804	0.894	741	0.974
RFC4	-5.49	5	-1.22	0.112	68	0.804	0.888	740	0.969
SLC25A22	-5.42	5	-1.20	0.115	69	0.804	0.885	739	0.966
POLE	-5.27	5	-1.16	0.123	70	0.804	0.877	738	0.959
PPIL2	-5.20	5	-1.14	0.127	71	0.804	0.873	737	0.956
RPS2	-5.15	5	-1.13	0.13	72	0.804	0.87	736	0.954
RPL18A	-5.07	5	-1.11	0.134	73	0.804	0.866	735	0.951
RPS11	-5.05	5	-1.10	0.135	74	0.804	0.865	734	0.951
PLAGL2	-5.01	5	-1.09	0.137	75	0.804	0.863	733	0.95
PEPD	-4.89	5	-1.06	0.145	76	0.804	0.855	732	0.943
DNA2	-4.88	5	-1.06	0.145	77	0.804	0.855	731	0.943
RPS27	-4.71	5	-1.01	0.156	78	0.804	0.844	730	0.933
RPS9	-4.64	5	-0.99	0.16	79	0.804	0.84	729	0.93
NUP205	-4.60	5	-0.98	0.163	80	0.804	0.837	728	0.928
POLA1	-4.53	5	-0.97	0.167	81	0.804	0.833	727	0.924
PHF19	-4.47	5	-0.95	0.171	82	0.804	0.829	726	0.921
TGIF2	-4.43	5	-0.94	0.174	83	0.804	0.826	725	0.919
HIST1H2BD	-4.35	5	-0.92	0.18	84	0.804	0.82	724	0.915
NUP98	-4.33	5	-0.91	0.181	85	0.804	0.819	723	0.914
TRIM49C	-4.33	5	-0.91	0.181	86	0.804	0.819	722	0.914
RPS19	-4.31	5	-0.91	0.183	87	0.804	0.817	721	0.914
RPL36	-4.28	5	-0.90	0.185	88	0.804	0.815	720	0.914
LTN1	-4.25	5	-0.89	0.186	89	0.804	0.814	719	0.913
PSMD6	-4.19	5	-0.88	0.191	90	0.804	0.809	718	0.91
ETNK1	-4.18	5	-0.87	0.192	91	0.804	0.808	717	0.909
PSMB2	-3.93	5	-0.81	0.21	92	0.804	0.79	716	0.89
RPL9	-3.87	5	-0.79	0.215	93	0.804	0.785	715	0.886
RHOG	-3.86	5	-0.79	0.216	94	0.804	0.784	714	0.886
CEND1	-3.84	5	-0.78	0.217	95	0.804	0.783	713	0.886
GTF3C2	-3.76	5	-0.76	0.223	96	0.804	0.777	712	0.88
RPS3A	-3.69	5	-0.74	0.229	97	0.804	0.771	711	0.875
HDHD3	-3.68	5	-0.74	0.23	98	0.804	0.77	710	0.875
ROCK2	-3.59	5	-0.71	0.237	99	0.804	0.763	709	0.868
PSMD7	-3.54	5	-0.70	0.241	100	0.804	0.759	708	0.865
HIST3H2BB	-3.54	5	-0.70	0.242	101	0.804	0.758	707	0.865
PSMA3	-3.50	5	-0.69	0.244	102	0.804	0.756	706	0.864
ZNF736	-3.38	5	-0.66	0.255	103	0.804	0.745	705	0.853
POTEH	-3.33	5	-0.65	0.259	104	0.804	0.741	704	0.85
POLR2D	-3.23	5	-0.62	0.268	105	0.804	0.732	703	0.841
ZNF341	-3.21	5	-0.61	0.27	106	0.804	0.73	702	0.84
PSMB3	-3.15	5	-0.60	0.275	107	0.804	0.725	701	0.835
XPA	-3.15	5	-0.60	0.275	108	0.804	0.725	700	0.835
SNX30	-3.11	5	-0.59	0.278	109	0.804	0.722	699	0.834
TMEM38B	-3.11	5	-0.59	0.278	110	0.804	0.722	698	0.834
USP18	-3.08	5	-0.58	0.281	111	0.804	0.719	697	0.832
COPB1	-3.03	5	-0.57	0.286	112	0.804	0.714	696	0.828
SLC13A2	-3.01	5	-0.56	0.287	113	0.804	0.713	695	0.827
RPL3	-2.97	5	-0.55	0.291	114	0.804	0.709	694	0.825
HIST4H4	-2.90	5	-0.53	0.297	115	0.804	0.703	693	0.818
PRR15	-2.85	5	-0.52	0.301	116	0.804	0.699	692	0.815
EEF1B2	-2.78	5	-0.50	0.308	117	0.804	0.692	691	0.808
HOXB8	-2.68	5	-0.47	0.318	118	0.804	0.682	690	0.798
ZNF665	-2.53	5	-0.44	0.332	119	0.804	0.668	689	0.783
ASPG	-2.49	5	-0.42	0.335	120	0.804	0.665	688	0.78
SDCCAG3	-2.47	5	-0.42	0.338	121	0.804	0.662	687	0.778
USPL1	-2.41	5	-0.40	0.344	122	0.804	0.656	686	0.772
MSANTD4	-2.41	5	-0.40	0.344	123	0.804	0.656	685	0.772
DNAJB5	-2.36	5	-0.39	0.348	124	0.804	0.652	684	0.769
ASXL1	-2.35	5	-0.39	0.349	125	0.804	0.651	683	0.769
DNTTIP1	-2.31	5	-0.38	0.353	126	0.804	0.647	682	0.765
SLC38A5	-2.28	5	-0.37	0.356	127	0.804	0.644	681	0.763
PSMC1	-2.27	5	-0.37	0.357	128	0.804	0.643	680	0.763
USP38	-2.27	5	-0.37	0.357	129	0.804	0.643	679	0.763
DEFB116	-2.26	5	-0.36	0.359	130	0.804	0.641	678	0.763
COPA	-2.25	5	-0.36	0.359	131	0.804	0.641	677	0.763
PNMA1	-2.24	5	-0.36	0.36	132	0.804	0.64	676	0.763
PABPC1L	-2.23	5	-0.35	0.361	133	0.804	0.639	675	0.763
MLXIPL	-2.18	5	-0.34	0.366	134	0.804	0.634	674	0.759
RAPH1	-2.18	5	-0.34	0.366	135	0.804	0.634	673	0.759
chr17_6	-0.97	1	-0.34	0.367	136	0.804	0.633	672	0.759
MCRIP2	-2.11	5	-0.32	0.373	137	0.804	0.627	671	0.754
HIST1H2AE	-2.10	5	-0.32	0.374	138	0.804	0.626	670	0.754
chr13_6	-0.92	1	-0.31	0.379	139	0.804	0.621	669	0.749
RPS24	-2.05	5	-0.31	0.379	140	0.804	0.621	668	0.749
HIST1H2BH	-2.01	5	-0.30	0.383	141	0.804	0.617	667	0.747
OSR1	-2.01	5	-0.30	0.383	142	0.804	0.617	666	0.747
INVS	-1.97	5	-0.29	0.388	143	0.804	0.612	665	0.743
GJC3	-1.92	5	-0.27	0.393	144	0.804	0.607	664	0.738
STX16	-1.91	5	-0.27	0.393	145	0.804	0.607	663	0.738
MPP3	-1.82	5	-0.25	0.403	146	0.804	0.597	662	0.728
CPLX2	-1.74	5	-0.23	0.411	147	0.804	0.589	661	0.719
SOCS7	-1.68	5	-0.21	0.417	148	0.804	0.583	660	0.713
ERCC6L2	-1.68	5	-0.21	0.417	149	0.804	0.583	659	0.713
KRTAP12-4	-1.67	5	-0.21	0.418	150	0.804	0.582	658	0.713
chr17_10	-0.74	1	-0.20	0.419	151	0.804	0.581	657	0.713
TRABD	-1.65	5	-0.20	0.42	152	0.804	0.58	656	0.713
chr14_8	-0.73	1	-0.20	0.422	153	0.804	0.578	655	0.712
SORBS1	-1.61	5	-0.19	0.424	154	0.804	0.576	654	0.711
RPS7	-1.59	5	-0.19	0.426	155	0.804	0.574	653	0.709
chr14_10	-0.71	1	-0.18	0.427	156	0.804	0.573	652	0.709
FAM78A	-1.57	5	-0.18	0.428	157	0.804	0.572	651	0.709
CHST4	-1.56	5	-0.18	0.429	158	0.804	0.571	650	0.709
BPIFB6	-1.53	5	-0.17	0.432	159	0.804	0.568	649	0.706
FBXO34	-1.51	5	-0.16	0.435	160	0.804	0.565	648	0.704
BCL6	-1.50	5	-0.16	0.436	161	0.804	0.564	647	0.704
STRN3	-1.48	5	-0.16	0.438	162	0.804	0.562	646	0.702
POLD4	-1.47	5	-0.15	0.439	163	0.804	0.561	645	0.702
ZMYM5	-1.45	5	-0.15	0.44	164	0.804	0.56	644	0.701
CCDC69	-1.45	5	-0.15	0.441	165	0.804	0.559	643	0.701
NT5C3B	-1.44	5	-0.15	0.441	166	0.804	0.559	642	0.701
CEACAM20	-1.42	5	-0.14	0.444	167	0.804	0.556	641	0.7
PLEKHA4	-1.42	5	-0.14	0.444	168	0.804	0.556	640	0.7
NUP133	-1.40	5	-0.14	0.446	169	0.804	0.554	639	0.7
ZNF692	-1.39	5	-0.13	0.447	170	0.804	0.553	638	0.7
MROH2B	-1.39	5	-0.13	0.447	171	0.804	0.553	637	0.7
TNNC2	-1.36	5	-0.13	0.45	172	0.804	0.55	636	0.698
TESK1	-1.34	5	-0.12	0.452	173	0.804	0.548	635	0.697
RFC1	-1.34	5	-0.12	0.453	174	0.804	0.547	634	0.697
SHC2	-1.32	5	-0.11	0.455	175	0.804	0.545	633	0.695
KIAA0825	-1.28	5	-0.11	0.458	176	0.804	0.542	632	0.692
GABRA2	-1.27	5	-0.10	0.46	177	0.804	0.54	631	0.691
SHANK1	-1.26	5	-0.10	0.46	178	0.804	0.54	630	0.691
CXCL9	-1.26	5	-0.10	0.461	179	0.804	0.539	629	0.691
VIPR2	-1.25	5	-0.10	0.462	180	0.804	0.538	628	0.691
RIMS4	-1.23	5	-0.09	0.464	181	0.804	0.536	627	0.69
PRR11	-1.23	5	-0.09	0.464	182	0.804	0.536	626	0.69
WNK2	-1.23	5	-0.09	0.464	183	0.804	0.536	625	0.69
BMP10	-1.22	5	-0.09	0.465	184	0.804	0.535	624	0.69
SLC16A13	-1.22	5	-0.09	0.465	185	0.804	0.535	623	0.69
chr21_11	-0.55	1	-0.09	0.465	186	0.804	0.535	622	0.69
MSH2	-1.20	5	-0.08	0.467	187	0.804	0.533	621	0.69
RBPJL	-1.20	5	-0.08	0.467	188	0.804	0.533	620	0.69
chr14_7	-0.53	1	-0.08	0.468	189	0.804	0.532	619	0.69
EPN3	-1.19	5	-0.08	0.468	190	0.804	0.532	618	0.69
PCGF1	-1.18	5	-0.08	0.469	191	0.804	0.531	617	0.69
PCDHA1	-1.18	5	-0.08	0.469	192	0.804	0.531	616	0.69
ARFGAP3	-1.18	5	-0.08	0.469	193	0.804	0.531	615	0.69
chr9_7	-0.52	1	-0.08	0.47	194	0.804	0.53	614	0.69
chr17_5	-0.52	1	-0.08	0.47	195	0.804	0.53	613	0.69
TNNT1	-1.17	5	-0.07	0.471	196	0.804	0.529	612	0.69
chr12_6	-0.52	1	-0.07	0.472	197	0.804	0.528	611	0.69
USP20	-1.15	5	-0.07	0.472	198	0.804	0.528	610	0.69
OR2T33	-1.14	5	-0.07	0.473	199	0.804	0.527	609	0.69
NEUROD2	-1.14	5	-0.07	0.473	200	0.804	0.527	608	0.69
KIAA1549L	-1.14	5	-0.07	0.474	201	0.804	0.526	607	0.69
NCOA1	-1.13	5	-0.06	0.475	202	0.804	0.525	606	0.69
chr11_3	-0.50	1	-0.06	0.476	203	0.804	0.524	605	0.69
CCDC106	-1.11	5	-0.06	0.476	204	0.804	0.524	604	0.69
chr17_1	-0.50	1	-0.06	0.476	205	0.804	0.524	603	0.69
chr14_11	-0.50	1	-0.06	0.476	206	0.804	0.524	602	0.69
TOM1L2	-1.10	5	-0.06	0.477	207	0.804	0.523	601	0.69
COPZ1	-0.97	4	-0.05	0.479	208	0.804	0.521	600	0.69
CDRT4	-1.06	5	-0.05	0.481	209	0.804	0.519	599	0.69
DTHD1	-1.05	5	-0.04	0.483	210	0.804	0.517	598	0.69
KANK3	-1.05	5	-0.04	0.483	211	0.804	0.517	597	0.69
C17orf78	-1.04	5	-0.04	0.483	212	0.804	0.517	596	0.69
chr13_2	-0.46	1	-0.04	0.485	213	0.804	0.515	595	0.69
NELL1	-1.03	5	-0.04	0.485	214	0.804	0.515	594	0.69
CRHR2	-1.01	5	-0.03	0.487	215	0.804	0.513	593	0.69
chr7_10	-0.45	1	-0.03	0.487	216	0.804	0.513	592	0.69
chr19_6	-0.45	1	-0.03	0.488	217	0.804	0.512	591	0.69
ASPRV1	-0.98	5	-0.03	0.49	218	0.804	0.51	590	0.69
RNF216	-0.97	5	-0.02	0.491	219	0.804	0.509	589	0.69
chr5_4	-0.43	1	-0.02	0.492	220	0.804	0.508	588	0.69
KRT40	-0.96	5	-0.02	0.492	221	0.804	0.508	587	0.69
KCNK17	-0.96	5	-0.02	0.493	222	0.804	0.507	586	0.69
chr3_1	-0.43	1	-0.02	0.493	223	0.804	0.507	585	0.69
TPO	-0.95	5	-0.02	0.493	224	0.804	0.507	584	0.69
CYP2U1	-0.95	5	-0.02	0.494	225	0.804	0.506	583	0.69
AGR2	-0.94	5	-0.01	0.494	226	0.804	0.506	582	0.69
GRHL1	-0.94	5	-0.01	0.494	227	0.804	0.506	581	0.69
IRF2BPL	-0.94	5	-0.01	0.495	228	0.804	0.505	580	0.69
chr17_11	-0.41	1	-0.01	0.496	229	0.804	0.504	579	0.69
FIBIN	-0.92	5	-0.01	0.497	230	0.804	0.503	578	0.69
CNTNAP4	-0.91	5	-0.01	0.497	231	0.804	0.503	577	0.69
UBE2QL1	-0.91	5	-0.01	0.498	232	0.804	0.502	576	0.69
C5	-0.90	5	-0.00	0.499	233	0.804	0.501	575	0.69
chr4_5	-0.40	1	-0.00	0.499	234	0.804	0.501	574	0.69
ZNF431	-0.89	5	-0.00	0.5	235	0.804	0.5	573	0.69
ZFHX2	-0.89	5	-0.00	0.5	236	0.804	0.5	572	0.69
PILRA	-0.88	5	0.00	0.501	237	0.804	0.499	571	0.69
MOGAT1	-0.87	5	0.00	0.502	238	0.804	0.498	570	0.69
TBX10	-0.84	5	0.01	0.504	239	0.804	0.496	569	0.69
UGT1A7	-0.84	5	0.01	0.505	240	0.804	0.495	568	0.69
AKAP2	-0.83	5	0.01	0.506	241	0.804	0.494	567	0.69
CCL8	-0.83	5	0.02	0.506	242	0.804	0.494	566	0.69
MTERF1	-0.82	5	0.02	0.507	243	0.804	0.493	565	0.69
DMRTC1B	-0.82	5	0.02	0.507	244	0.804	0.493	564	0.69
chr4_9	-0.37	1	0.02	0.507	245	0.804	0.493	563	0.69
CEMP1	-0.81	5	0.02	0.508	246	0.804	0.492	562	0.69
ZCCHC10	-0.80	5	0.02	0.509	247	0.804	0.491	561	0.69
CLDN7	-0.80	5	0.02	0.51	248	0.804	0.49	560	0.69
chr19_4	-0.35	1	0.02	0.51	249	0.804	0.49	559	0.69
GABRB1	-0.79	5	0.02	0.51	250	0.804	0.49	558	0.69
HPN	-0.78	5	0.03	0.511	251	0.804	0.489	557	0.69
chr13_1	-0.35	1	0.03	0.512	252	0.804	0.488	556	0.69
KIAA1804	-0.78	5	0.03	0.512	253	0.804	0.488	555	0.69
ELF5	-0.77	5	0.03	0.513	254	0.804	0.487	554	0.69
TTC33	-0.76	5	0.03	0.513	255	0.804	0.487	553	0.69
chr10_7	-0.34	1	0.03	0.514	256	0.804	0.486	552	0.69
KDM3A	-0.76	5	0.03	0.514	257	0.804	0.486	551	0.69
CYB5D1	-0.75	5	0.04	0.514	258	0.804	0.486	550	0.69
FGF13	-0.74	5	0.04	0.516	259	0.804	0.484	549	0.69
NMUR2	-0.72	5	0.04	0.518	260	0.804	0.482	548	0.69
chr9_10	-0.32	1	0.04	0.518	261	0.804	0.482	547	0.69
FABP1	-0.70	5	0.05	0.519	262	0.804	0.481	546	0.69
KIF20B	-0.70	5	0.05	0.52	263	0.804	0.48	545	0.69
GSTA1	-0.68	5	0.05	0.522	264	0.804	0.478	544	0.69
NUMB	-0.67	5	0.06	0.523	265	0.804	0.477	543	0.69
MLH3	-0.66	5	0.06	0.524	266	0.804	0.476	542	0.69
EHD3	-0.65	5	0.06	0.524	267	0.804	0.476	541	0.69
GPR87	-0.65	5	0.06	0.525	268	0.804	0.475	540	0.69
TH	-0.64	5	0.07	0.526	269	0.804	0.474	539	0.69
chr2_6	-0.28	1	0.07	0.528	270	0.804	0.472	538	0.69
chr20_5	-0.28	1	0.07	0.529	271	0.804	0.471	537	0.69
KLK11	-0.60	5	0.08	0.53	272	0.804	0.47	536	0.69
ZNF200	-0.60	5	0.08	0.53	273	0.804	0.47	535	0.69
OR2A14	-0.60	5	0.08	0.531	274	0.804	0.469	534	0.69
chr7_9	-0.27	1	0.08	0.531	275	0.804	0.469	533	0.69
PRPS2	-0.59	5	0.08	0.531	276	0.804	0.469	532	0.69
BCOR	-0.59	5	0.08	0.531	277	0.804	0.469	531	0.69
chr2_8	-0.26	1	0.08	0.532	278	0.804	0.468	530	0.69
THPO	-0.58	5	0.08	0.532	279	0.804	0.468	529	0.69
B3GALNT1	-0.58	5	0.08	0.532	280	0.804	0.468	528	0.69
chr9_2	-0.26	1	0.08	0.533	281	0.804	0.467	527	0.69
KCNN2	-0.58	5	0.08	0.533	282	0.804	0.467	526	0.69
HS3ST4	-0.57	5	0.08	0.533	283	0.804	0.467	525	0.69
MSH3	-0.57	5	0.08	0.533	284	0.804	0.467	524	0.69
chr21_5	-0.25	1	0.09	0.535	285	0.804	0.465	523	0.69
GGT7	-0.55	5	0.09	0.535	286	0.804	0.465	522	0.69
CYP24A1	-0.55	5	0.09	0.536	287	0.804	0.464	521	0.69
chr15_8	-0.24	1	0.09	0.537	288	0.804	0.463	520	0.69
chr12_8	-0.24	1	0.09	0.538	289	0.804	0.462	519	0.69
chr7_7	-0.24	1	0.10	0.538	290	0.804	0.462	518	0.69
COL4A1	-0.53	5	0.10	0.538	291	0.804	0.462	517	0.69
FOXRED2	-0.50	5	0.10	0.54	292	0.804	0.46	516	0.69
LYZL1	-0.50	5	0.10	0.541	293	0.804	0.459	515	0.69
FCN2	-0.49	5	0.11	0.542	294	0.804	0.458	514	0.69
ZFAND2A	-0.48	5	0.11	0.542	295	0.804	0.458	513	0.69
chr11_6	-0.21	1	0.11	0.543	296	0.804	0.457	512	0.69
chr20_3	-0.21	1	0.11	0.543	297	0.804	0.457	511	0.69
chr9_4	-0.21	1	0.11	0.544	298	0.804	0.456	510	0.69
ZSCAN31	-0.47	5	0.11	0.544	299	0.804	0.456	509	0.69
PLA2G2A	-0.46	5	0.11	0.545	300	0.804	0.455	508	0.69
MLH1	-0.46	5	0.11	0.545	301	0.804	0.455	507	0.69
chr20_2	-0.21	1	0.11	0.545	302	0.804	0.455	506	0.69
chr12_11	-0.20	1	0.11	0.546	303	0.804	0.454	505	0.69
chr17_2	-0.20	1	0.11	0.546	304	0.804	0.454	504	0.69
VWA5B1	-0.45	5	0.12	0.546	305	0.804	0.454	503	0.69
MICB	-0.44	5	0.12	0.547	306	0.804	0.453	502	0.69
chr19_1	-0.20	1	0.12	0.547	307	0.804	0.453	501	0.69
PANO1	-0.44	5	0.12	0.547	308	0.804	0.453	500	0.69
chr17_3	-0.19	1	0.12	0.548	309	0.804	0.452	499	0.69
chr12_3	-0.19	1	0.12	0.549	310	0.804	0.451	498	0.69
chr2_11	-0.19	1	0.12	0.549	311	0.804	0.451	497	0.69
chr9_3	-0.19	1	0.13	0.55	312	0.804	0.45	496	0.69
FAM124B	-0.41	5	0.13	0.55	313	0.804	0.45	495	0.69
ATP9A	-0.41	5	0.13	0.55	314	0.804	0.45	494	0.69
chr14_6	-0.18	1	0.13	0.55	315	0.804	0.45	493	0.69
DPY19L2	-0.40	5	0.13	0.551	316	0.804	0.449	492	0.69
chr5_10	-0.18	1	0.13	0.551	317	0.804	0.449	491	0.69
chr8_7	-0.18	1	0.13	0.552	318	0.804	0.448	490	0.69
chr8_8	-0.18	1	0.13	0.552	319	0.804	0.448	489	0.69
chr15_5	-0.18	1	0.13	0.552	320	0.804	0.448	488	0.69
chr21_10	-0.17	1	0.13	0.554	321	0.804	0.446	487	0.69
CLU	-0.37	5	0.14	0.554	322	0.804	0.446	486	0.69
IQSEC3	-0.37	5	0.14	0.554	323	0.804	0.446	485	0.69
LYPD5	-0.37	5	0.14	0.554	324	0.804	0.446	484	0.69
chr4_4	-0.16	1	0.14	0.555	325	0.804	0.445	483	0.69
ADAM7	-0.36	5	0.14	0.555	326	0.804	0.445	482	0.69
ZFP36L2	-0.36	5	0.14	0.555	327	0.804	0.445	481	0.69
YIPF4	-0.36	5	0.14	0.555	328	0.804	0.445	480	0.69
C2orf16	-0.35	5	0.14	0.557	329	0.804	0.443	479	0.69
chr5_9	-0.16	1	0.14	0.557	330	0.804	0.443	478	0.69
GMCL1	-0.35	5	0.14	0.557	331	0.804	0.443	477	0.69
chr6_2	-0.15	1	0.14	0.557	332	0.804	0.443	476	0.69
CCR1	-0.34	5	0.14	0.557	333	0.804	0.443	475	0.69
NME5	-0.34	5	0.14	0.558	334	0.804	0.442	474	0.69
NUP54	-0.21	2	0.14	0.558	335	0.804	0.442	473	0.69
C7orf69	-0.33	5	0.15	0.559	336	0.804	0.441	472	0.69
AGT	-0.33	5	0.15	0.559	337	0.804	0.441	471	0.69
FAIM	-0.33	5	0.15	0.559	338	0.804	0.441	470	0.69
NFKBID	-0.32	5	0.15	0.559	339	0.804	0.441	469	0.69
chr15_6	-0.14	1	0.15	0.56	340	0.804	0.44	468	0.69
chr7_1	-0.14	1	0.15	0.56	341	0.804	0.44	467	0.69
MAP1LC3B2	-0.31	5	0.15	0.56	342	0.804	0.44	466	0.69
TNFSF9	-0.31	5	0.15	0.56	343	0.804	0.44	465	0.69
chr12_7	-0.14	1	0.15	0.56	344	0.804	0.44	464	0.69
BLCAP	-0.31	5	0.15	0.561	345	0.804	0.439	463	0.69
EPDR1	-0.31	5	0.15	0.561	346	0.804	0.439	462	0.69
NR0B2	-0.31	5	0.15	0.561	347	0.804	0.439	461	0.69
chr15_4	-0.14	1	0.15	0.561	348	0.804	0.439	460	0.69
ZBTB18	-0.30	5	0.15	0.561	349	0.804	0.439	459	0.69
PPP1R3D	-0.29	5	0.16	0.563	350	0.804	0.437	458	0.69
chr10_1	-0.13	1	0.16	0.563	351	0.804	0.437	457	0.69
CST1	-0.28	5	0.16	0.564	352	0.804	0.436	456	0.69
PSMC2	-0.28	5	0.16	0.564	353	0.804	0.436	455	0.69
chr20_8	-0.12	1	0.16	0.564	354	0.804	0.436	454	0.69
CHGA	-0.27	5	0.16	0.564	355	0.804	0.436	453	0.69
CDCA7L	-0.27	5	0.16	0.565	356	0.804	0.435	452	0.69
chr6_10	-0.12	1	0.16	0.565	357	0.804	0.435	451	0.69
BMP7	-0.26	5	0.16	0.565	358	0.804	0.435	450	0.69
PSMD1	-0.12	1	0.17	0.566	359	0.804	0.434	449	0.69
chr8_10	-0.12	1	0.17	0.566	360	0.804	0.434	448	0.69
chr21_1	-0.11	1	0.17	0.566	361	0.804	0.434	447	0.69
chr14_5	-0.11	1	0.17	0.566	362	0.804	0.434	446	0.69
IFT27	-0.24	5	0.17	0.568	363	0.804	0.432	445	0.69
chr2_5	-0.11	1	0.17	0.568	364	0.804	0.432	444	0.69
TMEM176A	-0.24	5	0.17	0.568	365	0.804	0.432	443	0.69
chr11_2	-0.10	1	0.17	0.569	366	0.804	0.431	442	0.69
chr14_3	-0.10	1	0.17	0.569	367	0.804	0.431	441	0.69
chr1_3	-0.10	1	0.17	0.569	368	0.804	0.431	440	0.69
ZNF345	-0.22	5	0.18	0.57	369	0.804	0.43	439	0.69
CEP68	-0.22	5	0.18	0.57	370	0.804	0.43	438	0.69
chr21_8	-0.10	1	0.18	0.57	371	0.804	0.43	437	0.69
